Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2021 12:15;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2021;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
BB - 2012772;2018000203;12468;Interna;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;60.161.925,51;139.359,08;60.301.284,59;11.133.674,87;25.790,04;11.159.464,91;60.161.925,51;139.359,08;60.301.284,59
BB - 2012784;2012001845;12448;Interna;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;375.557.318,98;869.940,96;376.427.259,94;69.501.317,45;160.992,85;69.662.310,30;375.557.318,98;869.940,96;376.427.259,94
BB - 2012786;2018000204;12471;Interna;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;683.687.531,89;1.583.693,77;685.271.225,66;126.524.452,57;293.081,24;126.817.533,80;683.687.531,89;1.583.693,77;685.271.225,66
BB - 2012790;2013000008;12463;Interna;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,6%;7.157.395.727,32;98.529.136,68;7.255.924.864,00;1.324.560.612,80;18.233.980,44;1.342.794.593,23;7.157.395.727,32;98.529.136,68;7.255.924.864,00
BB - 2012796;2020003712;12441;Interna;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;743.636.335,49;1.722.559,18;745.358.894,67;137.618.686,71;318.779,92;137.937.466,63;743.636.335,49;1.722.559,18;745.358.894,67
BB - 2012800;2020003625;12440;Interna;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;404.563.943,21;937.131,90;405.501.075,11;74.869.335,85;173.427,33;75.042.763,18;404.563.943,21;937.131,90;405.501.075,11
BB - 2012802;2020003705;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;112.910.015,13;380.535,67;113.290.550,80;20.895.331,84;70.422,62;20.965.754,46;112.910.015,13;380.535,67;113.290.550,80
BB - 2012802;2020003707;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;254.232.641,99;856.829,13;255.089.471,12;47.048.753,05;158.566,35;47.207.319,40;254.232.641,99;856.829,13;255.089.471,12
BB - 2012802;2020003706;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;202.544.631,79;682.627,29;203.227.259,08;37.483.276,30;126.328,24;37.609.604,54;202.544.631,79;682.627,29;203.227.259,08
BB - 2012805;2020003702;12439;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;406.645.137,44;941.952,78;407.587.090,22;75.254.485,42;174.319,49;75.428.804,91;406.645.137,44;941.952,78;407.587.090,22
