;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Mato Grosso do Sul;1.996.465.655,00;0,78%;0;0,00%;0;0,00%;707.141.867,29;0,28%;0;0,00%;1.289.323.787,71;0,50%;0;0,00%;707.141.867,29;0,65%;0;0,00%;0;0,00%;0;0,00%;707.141.867,29;0,65%;0;0,00%;0;0,00%;1.289.323.787,71;0,88%;1.289.323.787,71;0,88%;0;0,00%;0;0,00%;0;0,00%
Sergipe;1.607.520.366,76;0,63%;0;0,00%;0;0,00%;552.260.724,70;0,22%;114.220.467,16;0,04%;941.039.174,90;0,37%;0;0,00%;666.481.191,86;0,61%;0;0,00%;0;0,00%;0;0,00%;552.260.724,70;0,51%;114.220.467,16;0,10%;0;0,00%;941.039.174,90;0,64%;896.636.575,62;0,61%;0;0,00%;0;0,00%;44.402.599,28;0,03%
Rio Grande do Norte;1.556.987.601,55;0,61%;0;0,00%;0;0,00%;497.862.357,46;0,19%;0;0,00%;1.059.125.244,09;0,41%;0;0,00%;536.259.565,38;0,49%;38.397.207,92;0,04%;0;0,00%;0;0,00%;497.862.357,46;0,46%;0;0,00%;0;0,00%;1.020.728.036,17;0,70%;1.020.728.036,17;0,70%;0;0,00%;0;0,00%;0;0,00%
Amapá;1.486.048.645,07;0,58%;0;0,00%;0;0,00%;1.486.048.645,07;0,58%;0;0,00%;0;0,00%;0;0,00%;1.486.048.645,07;1,36%;0;0,00%;0;0,00%;0;0,00%;1.486.048.645,07;1,36%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paraíba;1.393.012.550,03;0,54%;0;0,00%;0;0,00%;1.011.394.119,90;0,40%;0;0,00%;381.618.430,13;0,15%;0;0,00%;1.011.394.119,90;0,93%;0;0,00%;0;0,00%;0;0,00%;1.011.394.119,90;0,93%;0;0,00%;0;0,00%;381.618.430,13;0,26%;320.998.821,90;0,22%;0;0,00%;0;0,00%;60.619.608,23;0,04%
Roraima;712.730.904,00;0,28%;0;0,00%;0;0,00%;712.730.904,00;0,28%;0;0,00%;0;0,00%;0;0,00%;712.730.904,00;0,65%;0;0,00%;0;0,00%;0;0,00%;712.730.904,00;0,65%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rondônia;331.338.003,56;0,13%;0;0,00%;0;0,00%;310.244.731,99;0,12%;0;0,00%;21.093.271,57;0,01%;0;0,00%;310.244.731,99;0,28%;0;0,00%;0;0,00%;0;0,00%;310.244.731,99;0,28%;0;0,00%;0;0,00%;21.093.271,57;0,01%;21.093.271,57;0,01%;0;0,00%;0;0,00%;0;0,00%
Municípios;19.475.684.466,14;7,61%;226.687.463,67;0,09%;0;0,00%;2.121.116.946,02;0,83%;1.015.907.891,70;0,40%;14.615.815.692,43;5,71%;1.496.156.472,32;0,58%;4.859.868.773,71;4,45%;0;0,00%;226.687.463,67;0,21%;0;0,00%;2.121.116.946,02;1,94%;1.015.907.891,70;0,93%;1.496.156.472,32;1,37%;14.615.815.692,43;9,97%;14.354.337.004,94;9,79%;166.749.078,05;0,11%;94.729.609,45;0,06%;0;0,00%
Rio de Janeiro;6.710.872.826,24;2,62%;226.687.463,67;0,09%;0;0,00%;1.895.919.653,03;0,74%;0;0,00%;4.588.265.709,54;1,79%;0;0,00%;2.122.607.116,70;1,94%;0;0,00%;226.687.463,67;0,21%;0;0,00%;1.895.919.653,03;1,73%;0;0,00%;0;0,00%;4.588.265.709,54;3,13%;4.588.265.709,54;3,13%;0;0,00%;0;0,00%;0;0,00%
Manaus;1.435.125.484,98;0,56%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;969.649.294,50;0,38%;465.476.190,48;0,18%;465.476.190,48;0,43%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;465.476.190,48;0,43%;969.649.294,50;0,66%;969.649.294,50;0,66%;0;0,00%;0;0,00%;0;0,00%
