Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 15/01/2020 09:58;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Diário;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 31/12/2019;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
BB - 2013879;2015000781;12453;Interna;Piauí;Estados;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,5572%;716.074.848,55;24.449.076,04;740.523.924,59;177.655.208,41;6.065.714,65;183.720.923,06;716.074.848,55;24.449.076,04;740.523.924,59
BB - 2013887;2013000580;12447;Interna;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;3.304.570.015,23;62.355.513,89;3.366.925.529,12;819.850.153,88;15.470.145,11;835.320.298,99;3.304.570.015,23;62.355.513,89;3.366.925.529,12
BB - 2013889;2015000926;12446;Interna;Goiás;Estados;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,051%;2.214.944.806,72;55.772.285,96;2.270.717.092,68;549.518.646,07;13.836.873,49;563.355.519,56;2.214.944.806,72;55.772.285,96;2.270.717.092,68
BB - 2013891;2015001120;12450;Interna;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,31%;513.228.067,87;362.681,17;513.590.749,04;127.329.761,05;89.979,70;127.419.740,75;513.228.067,87;362.681,17;513.590.749,04
BB - 2013898;2013000543;12457;Interna;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;1.918.420.781,37;50.560.507,18;1.968.981.288,55;475.952.261,73;12.543.852,73;488.496.114,46;1.918.420.781,37;50.560.507,18;1.968.981.288,55
BB - 2013902;2013000909;12452;Interna;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;;Pós-fixado;120% CDI Juros + 0%;698.373.903,37;3.458.972,17;701.832.875,54;173.263.677,12;858.156,69;174.121.833,81;698.373.903,37;3.458.972,17;701.832.875,54
BB - 2013907;2015000805;12462;Interna;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,425%;1.418.696.814,28;8.418.715,31;1.427.115.529,59;351.972.812,24;2.088.648,45;354.061.460,69;1.418.696.814,28;8.418.715,31;1.427.115.529,59
BB - 2013943;2013000905;12469;Interna;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;;Pós-fixado;120% CDI Juros + 0%;1.716.129.032,26;8.972.663,80;1.725.101.696,06;425.764.515,41;2.226.080,78;427.990.596,19;1.716.129.032,26;8.972.663,80;1.725.101.696,06
BB - 2013955;2018000243;12445;Interna;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;723.787.078,94;20.130.784,92;743.917.863,86;179.568.580,88;4.994.364,48;184.562.945,36;723.787.078,94;20.130.784,92;743.917.863,86
BB - 2014003;2014001493;12442;Interna;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 2,1%;38.789.697,51;111.056,46;38.900.753,97;9.623.563,53;27.552,65;9.651.116,18;38.789.697,51;111.056,46;38.900.753,97
