;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Uruguaiana;6.825.987,57;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.825.987,57;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.825.987,57;0,00%;6.825.987,57;0,00%;0;0,00%;0;0,00%;0;0,00%
João Pessoa;6.428.500,81;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.428.500,81;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.428.500,81;0,00%;6.428.500,81;0,00%;0;0,00%;0;0,00%;0;0,00%
Castro;6.110.725,35;0,00%;0;0,00%;0;0,00%;0;0,00%;6.110.725,35;0,00%;0;0,00%;0;0,00%;6.110.725,35;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.110.725,35;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Carandaí;5.390.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.390.000,00;0,00%;5.390.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.390.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Jiquiriçá;5.225.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.225.000,00;0,00%;5.225.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.225.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Ivinhema;5.080.183,90;0,00%;0;0,00%;0;0,00%;0;0,00%;5.080.183,90;0,00%;0;0,00%;0;0,00%;5.080.183,90;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.080.183,90;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Água Doce;4.953.703,70;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.953.703,70;0,00%;4.953.703,70;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.953.703,70;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paraíso das Águas;4.808.230,70;0,00%;0;0,00%;0;0,00%;0;0,00%;4.808.230,70;0,00%;0;0,00%;0;0,00%;4.808.230,70;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.808.230,70;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Lapão;4.627.808,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.627.808,63;0,00%;4.627.808,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.627.808,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Pinhalzinho;4.500.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.500.000,00;0,00%;4.500.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.500.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Barrocas;4.492.704,37;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.492.704,37;0,00%;4.492.704,37;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.492.704,37;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Schroeder;4.380.237,66;0,00%;0;0,00%;0;0,00%;0;0,00%;4.380.237,66;0,00%;0;0,00%;0;0,00%;4.380.237,66;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.380.237,66;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Massaranduba;4.263.957,97;0,00%;0;0,00%;0;0,00%;0;0,00%;4.263.957,97;0,00%;0;0,00%;0;0,00%;4.263.957,97;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.263.957,97;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Concórdia;4.153.289,53;0,00%;0;0,00%;0;0,00%;0;0,00%;4.153.289,53;0,00%;0;0,00%;0;0,00%;4.153.289,53;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.153.289,53;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Guarda-Mor;4.017.500,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.017.500,00;0,00%;4.017.500,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.017.500,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paranã;3.800.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.800.000,00;0,00%;3.800.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.800.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Morro da Fumaça;3.747.029,52;0,00%;0;0,00%;0;0,00%;0;0,00%;3.747.029,52;0,00%;0;0,00%;0;0,00%;3.747.029,52;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.747.029,52;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Jaguaré;3.552.449,36;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.552.449,36;0,00%;3.552.449,36;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.552.449,36;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Ponte Nova;3.417.224,72;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.417.224,72;0,00%;3.417.224,72;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.417.224,72;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Pojuca;3.399.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.399.000,00;0,00%;3.399.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.399.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Candeias;3.188.187,54;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.188.187,54;0,00%;3.188.187,54;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.188.187,54;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Barracão;3.146.598,15;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.146.598,15;0,00%;3.146.598,15;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.146.598,15;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Ponte Serrada;2.850.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.850.000,00;0,00%;2.850.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.850.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Viçosa;2.707.022,48;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.707.022,48;0,00%;2.707.022,48;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.707.022,48;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
São Gabriel do Oeste;2.701.424,00;0,00%;0;0,00%;0;0,00%;0;0,00%;2.701.424,00;0,00%;0;0,00%;0;0,00%;2.701.424,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.701.424,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Roca Sales;2.348.123,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.348.123,83;0,00%;2.348.123,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.348.123,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Sonora;2.293.574,85;0,00%;0;0,00%;0;0,00%;0;0,00%;2.293.574,85;0,00%;0;0,00%;0;0,00%;2.293.574,85;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.293.574,85;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Garça;2.255.624,68;0,00%;0;0,00%;0;0,00%;0;0,00%;2.255.624,68;0,00%;0;0,00%;0;0,00%;2.255.624,68;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.255.624,68;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Capitólio;2.152.260,98;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.152.260,98;0,00%;2.152.260,98;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.152.260,98;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Doutor Pedrinho;2.086.802,85;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.086.802,85;0,00%;2.086.802,85;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.086.802,85;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Itá;2.085.410,24;0,00%;0;0,00%;0;0,00%;0;0,00%;1.106.721,36;0,00%;0;0,00%;978.688,88;0,00%;2.085.410,24;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.106.721,36;0,00%;978.688,88;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Morro Grande;2.059.465,86;0,00%;0;0,00%;0;0,00%;0;0,00%;2.059.465,86;0,00%;0;0,00%;0;0,00%;2.059.465,86;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.059.465,86;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Cotiporã;2.042.898,41;0,00%;0;0,00%;0;0,00%;0;0,00%;2.042.898,41;0,00%;0;0,00%;0;0,00%;2.042.898,41;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.042.898,41;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Passos Maia;2.026.082,60;0,00%;0;0,00%;0;0,00%;0;0,00%;2.026.082,60;0,00%;0;0,00%;0;0,00%;2.026.082,60;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.026.082,60;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Goioerê;1.919.976,65;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.919.976,65;0,00%;1.919.976,65;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.919.976,65;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Vale Real;1.884.442,69;0,00%;0;0,00%;0;0,00%;0;0,00%;1.884.442,69;0,00%;0;0,00%;0;0,00%;1.884.442,69;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.884.442,69;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Abdon Batista;1.878.097,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.878.097,10;0,00%;1.878.097,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.878.097,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Bom Jesus;1.735.872,73;0,00%;0;0,00%;0;0,00%;0;0,00%;1.735.872,73;0,00%;0;0,00%;0;0,00%;1.735.872,73;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.735.872,73;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Jaquirana;1.685.722,33;0,00%;0;0,00%;0;0,00%;0;0,00%;1.685.722,33;0,00%;0;0,00%;0;0,00%;1.685.722,33;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.685.722,33;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Piripiri;1.666.738,55;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.666.738,55;0,00%;1.666.738,55;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.666.738,55;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Alto Feliz;1.657.875,14;0,00%;0;0,00%;0;0,00%;0;0,00%;1.657.875,14;0,00%;0;0,00%;0;0,00%;1.657.875,14;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.657.875,14;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Caarapó;1.558.368,65;0,00%;0;0,00%;0;0,00%;0;0,00%;1.558.368,65;0,00%;0;0,00%;0;0,00%;1.558.368,65;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.558.368,65;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paty do Alferes;1.500.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.500.000,00;0,00%;1.500.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.500.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Pinheiro Preto;1.451.607,49;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.451.607,49;0,00%;1.451.607,49;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.451.607,49;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Maratá;1.212.599,18;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.212.599,18;0,00%;1.212.599,18;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.212.599,18;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Nova Santa Rita;1.150.674,98;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.150.674,98;0,00%;1.150.674,98;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.150.674,98;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Vargeão;1.003.382,50;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.003.382,50;0,00%;1.003.382,50;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.003.382,50;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Serafina Corrêa;868.075,84;0,00%;0;0,00%;0;0,00%;0;0,00%;868.075,84;0,00%;0;0,00%;0;0,00%;868.075,84;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;868.075,84;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Entre Rios;798.655,26;0,00%;0;0,00%;0;0,00%;0;0,00%;798.655,26;0,00%;0;0,00%;0;0,00%;798.655,26;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;798.655,26;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Campinas das Missões;797.468,89;0,00%;0;0,00%;0;0,00%;0;0,00%;797.468,89;0,00%;0;0,00%;0;0,00%;797.468,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;797.468,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Tio Hugo;722.544,15;0,00%;0;0,00%;0;0,00%;0;0,00%;722.544,15;0,00%;0;0,00%;0;0,00%;722.544,15;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;722.544,15;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paranavaí;652.682,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;652.682,00;0,00%;652.682,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;652.682,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Santa Helena;613.968,37;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;613.968,37;0,00%;613.968,37;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;613.968,37;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Crucilândia;600.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;600.000,00;0,00%;600.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;600.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rio Paranaíba;500.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;500.000,00;0,00%;500.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;500.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Abelardo Luz;400.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;400.000,00;0,00%;400.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;400.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Correia Pinto;398.287,64;0,00%;0;0,00%;0;0,00%;0;0,00%;398.287,64;0,00%;0;0,00%;0;0,00%;398.287,64;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;398.287,64;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Capinzal;248.813,98;0,00%;0;0,00%;0;0,00%;0;0,00%;248.813,98;0,00%;0;0,00%;0;0,00%;248.813,98;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;248.813,98;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Santa Vitória;181.925,63;0,00%;0;0,00%;0;0,00%;0;0,00%;181.925,63;0,00%;0;0,00%;0;0,00%;181.925,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;181.925,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Salvador do Sul;75.304,80;0,00%;0;0,00%;0;0,00%;0;0,00%;75.304,80;0,00%;0;0,00%;0;0,00%;75.304,80;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;75.304,80;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Monte Castelo;13.270,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.270,00;0,00%;13.270,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.270,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rio do Campo;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Barra do Piraí;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
São Sebastião do Caí;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Veranópolis;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Jundiaí;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Barão;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Balneário Camboriú;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Bancos Federais;23.492.926.200,19;7,71%;0;0,00%;0;0,00%;4.513.693.745,35;1,48%;0;0,00%;18.979.232.454,84;6,23%;0;0,00%;4.513.693.745,35;3,96%;0;0,00%;0;0,00%;0;0,00%;4.513.693.745,35;3,96%;0;0,00%;0;0,00%;18.979.232.454,84;9,95%;18.979.232.454,84;9,95%;0;0,00%;0;0,00%;0;0,00%
BNDES;17.899.425.000,00;5,87%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;17.899.425.000,00;5,87%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;17.899.425.000,00;9,38%;17.899.425.000,00;9,38%;0;0,00%;0;0,00%;0;0,00%
CAIXA;4.491.132.381,44;1,47%;0;0,00%;0;0,00%;4.417.247.818,70;1,45%;0;0,00%;73.884.562,74;0,02%;0;0,00%;4.417.247.818,70;3,87%;0;0,00%;0;0,00%;0;0,00%;4.417.247.818,70;3,87%;0;0,00%;0;0,00%;73.884.562,74;0,04%;73.884.562,74;0,04%;0;0,00%;0;0,00%;0;0,00%
Banco do Brasil;636.805.926,65;0,21%;0;0,00%;0;0,00%;96.445.926,65;0,03%;0;0,00%;540.360.000,00;0,18%;0;0,00%;96.445.926,65;0,08%;0;0,00%;0;0,00%;0;0,00%;96.445.926,65;0,08%;0;0,00%;0;0,00%;540.360.000,00;0,28%;540.360.000,00;0,28%;0;0,00%;0;0,00%;0;0,00%
Banco do Nordeste;465.562.892,09;0,15%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;465.562.892,09;0,15%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;465.562.892,09;0,24%;465.562.892,09;0,24%;0;0,00%;0;0,00%;0;0,00%
Entidades Estaduais Controladas;9.872.025.882,01;3,24%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.872.025.882,01;3,24%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.872.025.882,01;5,18%;6.878.010.215,97;3,61%;216.737.721,63;0,11%;2.777.277.944,41;1,46%;0;0,00%
SABESP-SP;5.786.765.095,97;1,90%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.786.765.095,97;1,90%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.786.765.095,97;3,03%;3.267.438.520,10;1,71%;0;0,00%;2.519.326.575,87;1,32%;0;0,00%
CELESC-SC;990.644.406,33;0,33%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;990.644.406,33;0,33%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;990.644.406,33;0,52%;990.644.406,33;0,52%;0;0,00%;0;0,00%;0;0,00%
CEEE-D-RS;935.041.115,76;0,31%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;935.041.115,76;0,31%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;935.041.115,76;0,49%;935.041.115,76;0,49%;0;0,00%;0;0,00%;0;0,00%
CAESB-DF;703.137.450,44;0,23%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;703.137.450,44;0,23%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;703.137.450,44;0,37%;703.137.450,44;0,37%;0;0,00%;0;0,00%;0;0,00%
CEEE-GT-RS;655.595.784,71;0,22%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;655.595.784,71;0,22%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;655.595.784,71;0,34%;655.595.784,71;0,34%;0;0,00%;0;0,00%;0;0,00%
CASAN-SC;257.951.368,54;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;257.951.368,54;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;257.951.368,54;0,14%;0;0,00%;0;0,00%;257.951.368,54;0,14%;0;0,00%
CAGECE-CE;235.617.104,95;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;235.617.104,95;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;235.617.104,95;0,12%;235.617.104,95;0,12%;0;0,00%;0;0,00%;0;0,00%
COPASA-MG;216.737.721,63;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;216.737.721,63;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;216.737.721,63;0,11%;0;0,00%;216.737.721,63;0,11%;0;0,00%;0;0,00%
SANEAGO-GO;90.535.833,69;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;90.535.833,69;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;90.535.833,69;0,05%;90.535.833,69;0,05%;0;0,00%;0;0,00%;0;0,00%
