;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Acre;2.993.978.401,89;0,98%;0;0,00%;0;0,00%;612.834.112,51;0,20%;0;0,00%;2.381.144.289,38;0,78%;0;0,00%;612.834.112,51;0,54%;0;0,00%;0;0,00%;0;0,00%;612.834.112,51;0,54%;0;0,00%;0;0,00%;2.381.144.289,38;1,25%;2.381.144.289,38;1,25%;0;0,00%;0;0,00%;0;0,00%
Tocantins;2.694.325.438,49;0,88%;0;0,00%;0;0,00%;375.557.318,98;0,12%;0;0,00%;2.092.316.506,60;0,69%;226.451.612,91;0,07%;1.279.811.334,59;1,12%;677.802.402,70;0,59%;0;0,00%;0;0,00%;375.557.318,98;0,33%;0;0,00%;226.451.612,91;0,20%;1.414.514.103,90;0,74%;1.414.514.103,90;0,74%;0;0,00%;0;0,00%;0;0,00%
Distrito Federal;2.683.361.171,06;0,88%;0;0,00%;0;0,00%;274.848.310,93;0,09%;0;0,00%;1.954.588.813,41;0,64%;453.924.046,72;0,15%;1.490.913.554,47;1,31%;762.141.196,82;0,67%;0;0,00%;0;0,00%;274.848.310,93;0,24%;0;0,00%;453.924.046,72;0,40%;1.192.447.616,59;0,63%;1.192.447.616,59;0,63%;0;0,00%;0;0,00%;0;0,00%
Mato Grosso do Sul;2.286.026.485,68;0,75%;0;0,00%;0;0,00%;668.007.294,60;0,22%;0;0,00%;1.618.019.191,08;0,53%;0;0,00%;668.007.294,60;0,59%;0;0,00%;0;0,00%;0;0,00%;668.007.294,60;0,59%;0;0,00%;0;0,00%;1.618.019.191,08;0,85%;1.618.019.191,08;0,85%;0;0,00%;0;0,00%;0;0,00%
Rio Grande do Norte;1.931.889.873,19;0,63%;0;0,00%;0;0,00%;420.587.445,64;0,14%;0;0,00%;1.511.302.427,55;0,50%;0;0,00%;465.135.914,42;0,41%;44.548.468,78;0,04%;0;0,00%;0;0,00%;420.587.445,64;0,37%;0;0,00%;0;0,00%;1.466.753.958,77;0,77%;1.466.753.958,77;0,77%;0;0,00%;0;0,00%;0;0,00%
Sergipe;1.892.698.529,18;0,62%;0;0,00%;0;0,00%;551.433.966,37;0,18%;126.521.023,69;0,04%;1.214.743.539,12;0,40%;0;0,00%;677.954.990,06;0,59%;0;0,00%;0;0,00%;0;0,00%;551.433.966,37;0,48%;126.521.023,69;0,11%;0;0,00%;1.214.743.539,12;0,64%;1.156.080.716,89;0,61%;0;0,00%;0;0,00%;58.662.822,23;0,03%
Paraíba;1.498.446.459,84;0,49%;0;0,00%;0;0,00%;1.048.710.356,80;0,34%;0;0,00%;449.736.103,04;0,15%;0;0,00%;1.048.710.356,80;0,92%;0;0,00%;0;0,00%;0;0,00%;1.048.710.356,80;0,92%;0;0,00%;0;0,00%;449.736.103,04;0,24%;366.633.270,87;0,19%;0;0,00%;0;0,00%;83.102.832,17;0,04%
Amapá;1.454.617.362,02;0,48%;0;0,00%;0;0,00%;1.454.617.362,02;0,48%;0;0,00%;0;0,00%;0;0,00%;1.454.617.362,02;1,28%;0;0,00%;0;0,00%;0;0,00%;1.454.617.362,02;1,28%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Roraima;679.387.688,49;0,22%;0;0,00%;0;0,00%;679.387.688,49;0,22%;0;0,00%;0;0,00%;0;0,00%;679.387.688,49;0,60%;0;0,00%;0;0,00%;0;0,00%;679.387.688,49;0,60%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rondônia;290.622.176,09;0,10%;0;0,00%;0;0,00%;264.606.537,62;0,09%;0;0,00%;26.015.638,47;0,01%;0;0,00%;264.606.537,62;0,23%;0;0,00%;0;0,00%;0;0,00%;264.606.537,62;0,23%;0;0,00%;0;0,00%;26.015.638,47;0,01%;26.015.638,47;0,01%;0;0,00%;0;0,00%;0;0,00%
