Relatório de Percentual Vincendo Garantias;;;;;;;;;;;;;;
Data de Emissão: 11/05/2021 11:53;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;
Data de Referência: 30/04/2021;;;;;;;;;;;;;;
Data Inicial: 01/05/2021;;;;;;;;;;;;;;
Data Final: 01/01/2100;;;;;;;;;;;;;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;;;;;;;;;;;;;
Cenário: Não Informado;;;;;;;;;;;;;;
Tipo de Cálculo: Valor Corrente;;;;;;;;;;;;;;
Tipo Percentual Vincendo: Tipo de Mutuário;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%)
Jiquiriçá;838.552,87;13,88%;819.727,61;13,57%;793.157,76;13,13%;770.227,78;12,75%;743.971,51;12,31%;2.076.712,07;34,37%;6.042.349,60;100%
Joinville;22.222.331,10;8,15%;23.157.553,99;8,49%;25.234.080,33;9,26%;24.816.429,18;9,10%;24.377.424,87;8,94%;152.794.943,75;56,05%;272.602.763,22;100%
João Pessoa;2.517.067,73;20,67%;1.725.616,85;14,17%;888.768,12;7,30%;321.292,72;2,64%;408.570,31;3,35%;6.318.965,05;51,88%;12.180.280,77;100%
Lapão;555.494,79;10,27%;733.241,81;13,55%;709.696,25;13,12%;689.577,46;12,75%;666.339,03;12,32%;2.055.940,18;38,00%;5.410.289,52;100%
Linhares;13.639.973,91;14,66%;14.190.033,05;15,25%;13.725.275,65;14,75%;13.308.674,80;14,30%;12.851.673,49;13,81%;25.322.155,70;27,22%;93.037.786,60;100%
Maceió;2.020.535,67;1,69%;2.019.456,29;1,69%;10.533.078,74;8,80%;10.369.862,37;8,67%;10.205.262,87;8,53%;84.488.716,44;70,62%;119.636.912,37;100%
Manaus;250.562.679,50;10,12%;259.067.539,61;10,47%;236.423.474,60;9,55%;215.060.751,19;8,69%;209.556.143,31;8,47%;1.304.571.626,75;52,70%;2.475.242.214,97;100%
Maracanaú;967.615,95;2,83%;693.360,32;2,03%;1.145.667,92;3,35%;1.773.632,26;5,18%;1.755.985,91;5,13%;27.893.360,44;81,49%;34.229.622,80;100%
Maratá;157.928,04;10,99%;175.678,72;12,22%;170.218,94;11,84%;165.303,52;11,50%;159.755,70;11,11%;608.415,84;42,33%;1.437.300,76;100%
Maringá;4.206.613,05;8,32%;4.302.547,32;8,51%;4.232.932,55;8,37%;4.165.735,91;8,24%;4.095.210,26;8,10%;29.576.775,48;58,48%;50.579.814,59;100%
