"","date","lender","borrower","amount_honoured"
"396",2018-07-05,"Banco do Brasil S/A","Piauí",55489418.99
"397",2018-07-16,"Banco do Brasil S/A","Rio de Janeiro",9256814.19
"398",2018-06-20,"Banco do Brasil S/A","Minas Gerais",417271219.34
"399",2018-06-15,"BID","Rio de Janeiro",6644972.56
"400",2018-06-15,"BID","Rio de Janeiro",18712746.44
"401",2018-06-15,"Caixa Econômica Federal","Roraima",2772594.21
"402",2018-06-25,"Caixa Econômica Federal","Roraima",2761277.72
"403",2018-06-25,"Caixa Econômica Federal","Rio de Janeiro",13166671.43
"404",2018-06-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5238810.98
"405",2018-06-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",26887402.5
"406",2018-06-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3248465.07
"407",2018-06-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30245021.19
"408",2018-06-15,"Banco do Brasil S/A","Rio de Janeiro",394014224.41
"409",2018-06-19,"Caixa Econômica Federal","Rio de Janeiro",2714642.26
"410",2018-06-19,"Caixa Econômica Federal","Rio de Janeiro",1011505
"411",2018-06-15,"Banco do Brasil S/A","Rio de Janeiro",9353725.79
"412",2018-06-15,"Caixa Econômica Federal","Rio de Janeiro",7922722.72
"413",2018-06-05,"Corporacão Andina de Fomento","Rio de Janeiro",37686708.16
"414",2018-05-25,"Caixa Econômica Federal","Roraima",2720960.34
"415",2018-05-25,"Caixa Econômica Federal","Rio de Janeiro",13119066.39
"416",2018-05-15,"Banco Mundial","Rio de Janeiro",1776256.99
"417",2018-05-22,"Corporacão Andina de Fomento","Rio de Janeiro",23520585.46
"418",2018-05-21,"Caixa Econômica Federal","Rio de Janeiro",2716718.52
"419",2018-05-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",25904160.64
"420",2018-05-15,"Banco Mundial","Rio de Janeiro",56627437.31
"421",2018-05-15,"Caixa Econômica Federal","Roraima",2680240.46
"422",2018-05-21,"Caixa Econômica Federal","Rio de Janeiro",1013226.8
