"","Inicio","Classificador","Periodo","total_total","interna_cambial","interna_total","externa_total","ATM_Total","Custo_Total","Ate_12_meses","Ate_12_meses_percentual","De_1_2_anos","De_1_2_anos_percentual","De_2_3_anos","De_2_3_anos_percentual","De_3_4_anos","De_3_4_anos_percentual","De_4_5_anos","De_4_5_anos_percentual","Acima_5_anos","Acima_5_anos_percentual","interna_demais"
"50",NA,NA,2020-04-30,178628837.65,0,5094548.76,173534288.89,6.062858982,NA,21560662.21,NA,19997324.79,NA,19974883.55,NA,20609895.49,NA,20155945.93,NA,116063822.1,NA,5094548.76
"51",NA,NA,2020-04-30,144935519.32,0,0,144935519.32,9.464938905,NA,11427332.22,NA,11297360.57,NA,11122597.99,NA,10952957.04,NA,10768172.99,NA,128332322.1,NA,0
"52",NA,NA,2020-04-30,142264980.05,0,0,142264980.05,9.749769783,NA,8234220.693,NA,9038582.903,NA,10203764.79,NA,10080222.82,NA,9954218.996,NA,127383237.7,NA,0
"53",NA,NA,2020-04-30,136035431.82,0,0,136035431.82,6.804888918,NA,13860432.35,NA,13676993.06,NA,13446362.89,NA,13220008.7,NA,13024141.01,NA,97320229.14,NA,0
"54",NA,NA,2020-04-30,134544375.13,0,0,134544375.13,4.332151504,NA,22495741.41,NA,21497666.05,NA,20884444.17,NA,20190060.6,NA,19538963.25,NA,63172182.34,NA,0
"55",NA,NA,2020-04-30,119094831.74,0,0,119094831.74,4.893431547,NA,14618604.48,NA,14313815.28,NA,17145554.62,NA,19861528.48,NA,19294826.77,NA,60942861.28,NA,0
"56",NA,NA,2020-04-30,109183119.22,0,109183119.22,0,8.097411632,NA,16527552.19,NA,16131941.8,NA,15705582.22,NA,15287457.89,NA,12876319.3,NA,105791414.8,NA,109183119.22
"57",NA,NA,2020-04-30,107628014.79,0,0,107628014.79,8.214041158,NA,9441711.759,NA,9325029.828,NA,9174974.753,NA,9028584.277,NA,8871390.432,NA,87720404.1,NA,0
"58",NA,NA,2020-04-30,104658230.09,0,0,104658230.09,9.221668739,NA,3361368.193,NA,3343050.134,NA,3324732.075,NA,8381579.139,NA,13174062.92,NA,110355564.1,NA,0
"59",NA,NA,2020-04-30,102095295.86,0,0,102095295.86,8.964618463,NA,8381229.152,NA,8282678.811,NA,8152538.196,NA,8025957.127,NA,7888862.261,NA,87673132.78,NA,0
"60",NA,NA,2020-04-30,101834385.61,0,0,101834385.61,8.311301361,NA,5171503.944,NA,4526790.536,NA,8768896.363,NA,12977993.61,NA,12632062.17,NA,102151311.1,NA,0
"61",NA,NA,2020-04-30,99915192.57,0,0,99915192.57,4.305348534,NA,17653324.63,NA,16829860.1,NA,19367168.61,NA,18771779.63,NA,18183732.01,NA,31809391.02,NA,0
"62",NA,NA,2020-04-30,96090063.01,0,0,96090063.01,9.882092578,NA,6495474.527,NA,6674804.794,NA,6594521.965,NA,6517758.518,NA,6433956.249,NA,84280137.82,NA,0
"63",NA,NA,2020-04-30,72659316.49,0,0,72659316.49,6.286204936,NA,7469049.094,NA,7364665.922,NA,7249805.006,NA,7135864.603,NA,7024232.231,NA,50055878.55,NA,0
"64",NA,NA,2020-04-30,65533830.76,0,0,65533830.76,9.380684932,NA,1724519.801,NA,2058194.499,NA,2058194.499,NA,2058194.499,NA,5539275.113,NA,85350799.39,NA,0
