"","data_mes","mutuario_cat","qde","valor_mes","valor_acum"
"172",2021-01-01,"Demais entes",10,104553652.14,3477430891.88
"173",2021-01-01,"Estado do Rio de Janeiro",10,108455086.1,22661091999.09
"174",2021-01-01,"Minas Gerais",2,150646035.16,7187640950.55
"175",2021-02-01,"Demais entes",12,295562429.94,3772993321.82
"176",2021-02-01,"Estado do Rio de Janeiro",11,121372884.31,22782464883.4
"177",2021-02-01,"Minas Gerais",7,915246485.31,8102887435.86
"178",2021-03-01,"Demais entes",11,100107374.71,3873100696.53
"179",2021-03-01,"Estado do Rio de Janeiro",10,159073022.79,22941537906.19
"180",2021-03-01,"Minas Gerais",3,78477816.92,8181365252.78
"181",2021-04-01,"Demais entes",11,100936846.38,3974037542.91
"182",2021-04-01,"Estado do Rio de Janeiro",14,288120584.11,23229658490.3
"183",2021-04-01,"Minas Gerais",4,189127233.84,8370492486.62
"184",2021-05-01,"Demais entes",10,100512706.03,4074550248.94
"185",2021-05-01,"Estado do Rio de Janeiro",15,578973576.43,23808632066.73
"186",2021-05-01,"Minas Gerais",7,38026734.91,8408519221.53
"187",2021-06-01,"Demais entes",11,131949327.56,4206499576.5
"188",2021-06-01,"Estado do Rio de Janeiro",12,561965033.4,24370597100.13
"189",2021-06-01,"Minas Gerais",3,525871286.54,8934390508.07
"190",2021-07-01,"Demais entes",10,97767192.92,4304266769.42
"191",2021-07-01,"Estado do Rio de Janeiro",11,106883449.14,24477480549.27
"192",2021-07-01,"Minas Gerais",2,146626509.51,9081017017.58
"193",2021-08-01,"Demais entes",11,278060427.92,4582327197.34
"194",2021-08-01,"Estado do Rio de Janeiro",14,395300985,24872781534.27
"195",2021-08-01,"Minas Gerais",7,207874453.73,9288891471.31
"196",2021-09-01,"Demais entes",10,98879424.8,4681206622.14
"197",2021-09-01,"Estado do Rio de Janeiro",11,240821476.59,25113603010.86
"198",2021-09-01,"Minas Gerais",3,72708755.61,9361600226.92
"199",2021-10-01,"Demais entes",10,100222618.64,4781429240.78
"200",2021-10-01,"Estado do Rio de Janeiro",15,404513864.22,25518116875.08
"201",2021-10-01,"Minas Gerais",4,193923455.95,9555523682.87
"202",2021-11-01,"Demais entes",10,103626127.88,4885055368.66
"203",2021-11-01,"Estado do Rio de Janeiro",15,595828995.23,26113945870.31
"204",2021-11-01,"Minas Gerais",7,41130349.69,9596654032.56
"205",2021-12-01,"Demais entes",11,139915572.14,5024970940.8
"206",2021-12-01,"Estado do Rio de Janeiro",12,604580612.99,26718526483.3
"207",2021-12-01,"Minas Gerais",3,570377261.25,10167031293.81
