"","Inicio","Classificador","UF","Credor","tipo_credor","Projeto","honras","data","Moeda","valor","data_date"
"44","Acre","Estados","AC","BB","Bancos Federais","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - art 9º-N da Resolução CMN nº 2.827, de 30 de março de 2001, alterada pelas Resoluções nº 4.109, de 05/07/2012, nº 4.155, de 01/11/2012, e nº 4.156, de 07/11/2012. Lei estadual nº 2.566, de 13/07/2012",NA,"20/12/2012","R$",69389583.1,2012-12-20
"45","Acre","Estados","AC","BNDES","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e do Distrito Federal",NA,"17/12/2012","R$",383202882.73,2012-12-17
"46","Acre","Estados","AC","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do bneeficiário.",NA,"22/12/2009","R$",205260000,2009-12-22
"47","Acre","Estados","AC","BIRD","Organismos Multilaterais","Programa de Inclusão Social e Desenvolvimento Econômico Sustentável do Estado do Acre - PROACRE",NA,"30/01/2009","USD",1.2e+08,2009-01-30
"48","Acre","Estados","AC","BID","Organismos Multilaterais","Programa de Desenvolvimento Sustentável do Acre",NA,"23/06/2002","USD",64800000,2002-06-23
"49","Alagoas","Estados","AL","BB","Bancos Federais","Programa Conecta Alagoas",NA,"13/08/2018","R$",3e+08,2018-08-13
"50","Alagoas","Estados","AL","BID","Organismos Multilaterais","Projeto do Aperfeiçoamento da Gestão Fazendária de Alagoas - PROFISCAL",NA,"23/12/2013","USD",7e+06,2013-12-23
"51","Alagoas","Estados","AL","BID","Organismos Multilaterais","Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento Econômico e Social do Estado do Alagoas - PROCONFIS/PBL.",NA,"23/12/2013","USD",2.5e+08,2013-12-23
"52","Alagoas","Estados","AL","BNDES","Bancos Federais","Financiamento de Despesas de Capital, relativas à amortização de dívida decorrente do Contrato 09.2.1532.1, de 28/12/2009, entre o mutuário e o BNDES",NA,"26/09/2013","R$",89837210.06,2013-09-26
"53","Alagoas","Estados","AL","CAIXA","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e Distrito Federal",NA,"31/01/2013","R$",521987578.16,2013-01-31
"54","Alagoas","Estados","AL","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do bneeficiário.",NA,"28/12/2009","R$",249606000,2009-12-28
"55","Alagoas","Estados","AL","BIRD","Organismos Multilaterais","Projeto de Desenvolvimento Sustentável - Estado de Alagoas",NA,"23/12/2009","USD",195450000,2009-12-23
"56","Alagoas","Estados","AL","BNB","Bancos Federais","Prodetur I",NA,"02/09/2003","R$",138403.92,2003-09-02
"57","Alagoas","Estados","AL","BNB","Bancos Federais","Prodetur I",NA,"11/06/2003","R$",14442120.49,2003-06-11
"58","Amapa","Estados","AP","BNDES","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e do Distrito Federal",5,"05/04/2013","R$",449187021.91,2013-04-05
"59","Amapa","Estados","AP","BNDES","Bancos Federais","Programas de Desenvolvimento Humano Regional Integrado - PDRI, constantes do plano plurianual (PPA) e leis orçamentárias do beneficiário.",5,"05/04/2013","R$",9.8e+08,2013-04-05
"60","Amapa","Estados","AP","CAIXA","Bancos Federais","PAGAMENTO DE DÍVIDAS DO ESTADO DO AMAPÁ COMA COMPANHIA DE ELETRICIDADE DO AMAPÁ - CEA .",5,"28/12/2012","R$",1.4e+09,2012-12-28
"61","Amapa","Estados","AP","BIRD","Organismos Multilaterais","Projeto Comunidades Duráveis do Estado do Amapá",NA,"02/06/2006","USD",4800000,2006-06-02
"62","Amazonas","Estados","AM","BB","Bancos Federais","Programa de Apoio às Despesas de Capital - PRODECAP, destinado à amortização da dívida pública, capitalização de Fundo Garantidor de PPP e pagamento de contrapartida de operações de crédito.",NA,"16/09/2019","R$",4e+08,2019-09-16
"63","Amazonas","Estados","AM","BB","Bancos Federais","Financiamento de despesas de capital constantes do Programa de Ajuste Fiscal vinculado ao Contrato de Refinanciamento firmado com a União no âmbito da Lei nº 9.496/2017 e na Lei Orçamentária Anual - LOA 2017",NA,"28/12/2017","R$",3e+08,2017-12-28
"64","Amazonas","Estados","AM","BB","Bancos Federais","Programa de Sustentação dos Investimentos Públicos - PROSIP (Lei estadual nº 4.264, de 27/11/2015)",NA,"30/11/2016","R$",3e+08,2016-11-30
"65","Amazonas","Estados","AM","CAF","Organismos Multilaterais","Programa Sócio-Ambiental dos Igarapés de Manaus - PROSAMIM",NA,"29/09/2014","USD",52500000,2014-09-29
"66","Amazonas","Estados","AM","BIRD","Organismos Multilaterais","Programa de Consolidação do Equilíbrio Fiscal para a Melhoria da Prestação de Serviços Públicos do Estado do Amazonas",NA,"23/09/2014","USD",2.16e+08,2014-09-23
"67","Amazonas","Estados","AM","BID","Organismos Multilaterais","Programa de Aceleração do Desenvolvimento da Educação do Amazonas - PADEAM.",NA,"05/08/2014","USD",151180000,2014-08-05
"68","Amazonas","Estados","AM","BID","Organismos Multilaterais","Programa de Saneamento Integrado de Maués - PROSAIMAUÉS",NA,"23/12/2013","USD",24500000,2013-12-23
"69","Amazonas","Estados","AM","BID","Organismos Multilaterais","Programa de Consolidação do Equilíbrio Fiscal para a Melhoria da Prestação de Serviços Públicos do Estado do Amazonas - PROCONFIS/PBL",NA,"23/12/2013","USD",1.84e+08,2013-12-23
"70","Amazonas","Estados","AM","BB","Bancos Federais","Programa de Infraestrutura para Criação de Oportunidades no Amazonas - PROINFRA (Lei estadual nº 3.866, de 19/03/2013)",NA,"26/11/2013","R$",7.64e+08,2013-11-26
"71","Amazonas","Estados","AM","BB","Bancos Federais","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE",NA,"21/12/2012","R$",517493000,2012-12-21
"72","Amazonas","Estados","AM","BID","Organismos Multilaterais","Programa Social e Ambiental dos Igarapés de Manaus - PROSAMIM III",NA,"16/03/2012","USD",2.8e+08,2012-03-16
"73","Amazonas","Estados","AM","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do bneeficiário.",NA,"28/12/2009","R$",167424000,2009-12-28
"74","Amazonas","Estados","AM","BID","Organismos Multilaterais","Programa Sócio Ambiental dos Igarapés de Manaus-PROSAMIN I",NA,"01/09/2009","USD",7.7e+07,2009-09-01
