Relatório de Percentual Vincendo Garantias
Data de Emissão: 13/01/2022 08:23
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Percentual Vincendo: Tipo de Mutuário

Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%);
Alagoinhas;6.548.226,16;10,40712065350975%;6.431.105,42;10,22098021754651%;6.319.279,18;10,04325435049913%;6.194.778,22;9,845384502919244%;6.079.903,63;9,662813881663783%;31.347.340,08;49,82044639386159%;62.920.632,69;100%;
Alto Feliz;250.841,89;5,875773878903401%;249.390,63;5,841779255439603%;247.682,61;5,801770231027275%;245.869,23;5,759293231525613%;243.944,03;5,714196936518169%;3.031.358,46;71,00718646658594%;4.269.086,85;100%;
Aparecida de Goiânia;20.361.002,81;11,00212292651856%;19.903.746,01;10,75504297817163%;24.095.563,05;13,02010265081725%;23.541.806,85;12,72087899073654%;22.993.532,27;12,42461733884566%;74.168.658,38;40,07723511491037%;185.064.309,37;100%;
Aquidauana;1.603.721,61;5,825726122303722%;1.594.215,44;5,791193730555219%;1.583.417,25;5,751967909088238%;1.571.953,10;5,710322901807325%;1.559.781,82;5,666109153363869%;19.615.180,67;71,25468018288163%;27.528.269,89;100%;
Aracaju;10.123.700,92;8,133572229952128%;9.354.461,69;7,515550926403212%;8.549.908,21;6,869157488454894%;8.469.545,28;6,804592395024064%;8.376.620,97;6,729935252021121%;79.593.839,61;63,94719170814458%;124.468.076,68;100%;
Aracati;7.289.889,37;11,51021735682902%;8.721.762,45;13,77104321325655%;8.244.604,05;13,0176440025307%;7.719.657,09;12,18879005101914%;7.181.914,37;11,33973250362697%;24.176.244,86;38,17257287273762%;63.334.072,19;100%;
Araguaína;1.844.628,75;1,6282528558265%;1.839.575,00;1,623791913281756%;9.967.034,00;8,797895823004942%;9.803.628,53;8,653657898064668%;9.649.909,41;8,517970109323906%;80.184.062,92;70,77843140049823%;113.288.838,61;100%;
Araquari;1.115.324,28;5,802696555476156%;1.108.294,38;5,766122101528698%;1.100.828,95;5,727281716070445%;1.092.903,06;5,68604569581445%;1.084.488,32;5,642266336135104%;13.718.953,78;71,37558759497515%;19.220.792,77;100%;
Bagé;2.452.481,59;15,43434365192833%;2.448.119,99;15,40689454342258%;2.443.029,01;15,37485518575095%;2.437.810,57;15,3420136767197%;2.432.655,86;15,30957324336826%;3.675.672,22;23,13231969881018%;15.889.769,24;100%;
Balneário Camboriú;17.208.459,42;16,40802075443116%;16.165.632,63;15,41370027541661%;15.199.192,83;14,4922137024885%;14.158.213,52;13,49965476931855%;13.083.929,75;12,47534050828585%;29.062.909,57;27,71106999005934%;104.878.337,72;100%;
