Relatório de Custo Médio de Garantias
Data de Emissão: 13/01/2022 08:13
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Custo Médio: Tipo de Mutuário

Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$);
Roca Sales;4,755457122863%;2.301.194,530000007;
Vargeão;4,8887146825635%;2.292.358,710000007;
Garça;5,4514352%;2.275.127,027525265;
Alto Feliz;5,4514352%;2.235.034,066848155;
Maratá;4,8849893134692%;2.162.754,830000006;
Morro Grande;5,1943653666667%;2.019.038,984039929;
Passos Maia;5,801606%;1.988.645,396083471;
Serafina Corrêa;5,54398034%;1.915.306,622058877;
Vale Real;5,759919%;1.849.882,379539807;
Bom Jesus;5,5792753333333%;1.843.544,58443282;
Goioerê;4,807370404433%;1.814.309,690000005;
São Sebastião do Caí;3,2960904171715%;1.735.394,522266058;
Pinheiro Preto;4,8406424967254%;1.687.629,720000005;
Salvador do Sul;5,1429514%;1.597.552,479397167;
Paty do Alferes;4,9775254072718%;1.416.666,660000004;
Crucilândia;4,501251134912%;1.340.134,010000004;
Santa Vitória;5,676545%;1.300.476,427270402;
Entre Rios;5,2680124%;1.016.948,297534215;
Virmond;0,1946704959872%;1.000.000,000000003;
Santa Helena;4,815670726203%;928.558,3600000028;
Campinas das Missões;5,759919%;870.792,8770855404;
Tio Hugo;4,7007912866667%;801.812,4405721012;
Guarujá do Sul;0,4286309567831%;500.000,0000000015;
Rio do Campo;3,8940777402315%;490.037,0500000015;
Veranópolis;1,6097176187052%;220.996,4122511415;
Monte Castelo;4,4608497003453%;12.655,65000000004;
Rio Paranaíba;4,3998440460486%;9.599,740000000029;
Sidrolândia;1,0493162353758%;7.262,912849396577;
Bancos Federais;8,159747281757993%;22.795.879.866,88123719;
BNDES;8,7003158659223%;17.613.453.125,00;
CAIXA;5,370601011452062%;4.104.924.766,68216696;
Banco do Brasil;8,370653216481952%;634.191.521,05000023;
Banco do Nordeste;12,2070270436469%;443.310.454,14907;
Entidades Estaduais Controladas;5,6127243707965%;9.192.301.010,62798906;
SABESP-SP;3,941403828569244%;5.710.289.091,73193519;
CELESC-SC;8,7003158659223%;1.023.075.562,49697;
CAESB-DF;8,7003158659223%;717.316.347,53823;
CEEE-GT-RS;10,15252372143411%;644.192.297,429665;
CEEE-D-RS;12,14377635610204%;371.884.769,33674;
CASAN-SC;-3,060039761774125%;269.739.823,16366887;
CAGECE-CE;11,9493038780997%;229.017.039,47184;
COPASA-MG;1,16544871367%;140.478.622,9464;
SANEAGO-GO;9,4334140845107%;86.307.456,51254;
Estatais Federais;6,914352373238969%;6.748.572.968,155129358;
ELETRONUCLEAR;6,5180555555556%;3.000.276.088,190009;
FINEP;8,7003158659223%;1.857.302.755,21997;
ELETROBRÁS;4,954488305668061%;1.469.721.025,028090358;
Furnas Centrais Elétricas;8,7003158659223%;421.273.099,71706;
