Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2022 08:42;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
AFD CBR 1070 01K;TB035996;13082;Externa;Curitiba;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;EUR;;Pós-fixado;100% EURIBOR6m + 1,38%;5.141.124,00;4.292,84;5.145.416,84;5.419.258,81;4.525,08;5.423.783,89;26.657.876,00;22.259,33;26.680.135,34
AFD CBR 3005;TA476555;12231;Externa;Curitiba;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,06%;22.895.000,00;0;22.895.000,00;24.133.619,50;0;24.133.619,50;118.715.687,68;0;118.715.687,68
BANK OF AMERICA-MA/2013;TA652763;12203;Externa;Maranhão;Estados;MA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BOFA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;5,48%;156.635.068,84;2.311.537,68;158.946.606,52;156.635.068,84;2.311.537,68;158.946.606,52;770.503.567,13;11.370.685,00;781.874.252,13
BANK OF AMERICA-SC/2012;TA634758;12202;Externa;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;BOFA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4%;116.365.853,00;1.590.333,32;117.956.186,32;116.365.853,00;1.590.333,32;117.956.186,32;572.415.267,49;7.823.008,63;580.238.276,13
BB - 2012735;2012000998;12465;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,85%;5.401.957.461,97;84.535.459,67;5.486.492.921,64;1.098.159.716,61;17.185.147,62;1.115.344.864,23;5.401.957.461,97;84.535.459,67;5.486.492.921,64
BB - 2012769;2012001828;12464;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;579.996.264,59;1.476.681,41;581.472.946,00;117.906.987,98;300.193,41;118.207.181,39;579.996.264,59;1.476.681,41;581.472.946,00
BB - 2012772;2018000203;12468;Interna;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;59.495.946,71;151.475,37;59.647.422,08;12.094.884,57;30.793,31;12.125.677,89;59.495.946,71;151.475,37;59.647.422,08
BB - 2012784;2012001845;12448;Interna;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;343.869.058,61;875.497,10;344.744.555,71;69.904.872,56;177.979,12;70.082.851,68;343.869.058,61;875.497,10;344.744.555,71
BB - 2012786;2018000204;12471;Interna;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;675.926.054,48;1.720.892,92;677.646.947,40;137.408.480,10;349.838,98;137.758.319,08;675.926.054,48;1.720.892,92;677.646.947,40
BB - 2012790;2013000008;12463;Interna;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,6%;5.972.675.601,45;84.596.261,73;6.057.271.863,18;1.214.180.561,78;17.197.508,03;1.231.378.069,81;5.972.675.601,45;84.596.261,73;6.057.271.863,18
BB - 2012796;2020003712;12441;Interna;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;735.404.453,16;1.872.353,58;737.276.806,74;149.499.797,35;380.629,30;149.880.426,65;735.404.453,16;1.872.353,58;737.276.806,74
BB - 2012800;2020003625;12440;Interna;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;370.428.192,40;943.117,15;371.371.309,55;75.304.058,14;191.725,55;75.495.783,69;370.428.192,40;943.117,15;371.371.309,55
BB - 2012802;2020003705;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;48.510.327,50;163.872,04;48.674.199,54;9.861.626,62;33.313,42;9.894.940,04;48.510.327,50;163.872,04;48.674.199,54
BB - 2012802;2020003707;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;194.000.215,96;655.343,60;194.655.559,56;39.438.152,50;133.224,29;39.571.376,79;194.000.215,96;655.343,60;194.655.559,56
BB - 2012802;2020003706;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;129.138.750,25;436.239,10;129.574.989,35;26.252.515,75;88.682,71;26.341.198,46;129.138.750,25;436.239,10;129.574.989,35
BB - 2012805;2020003702;12439;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;402.430.233,80;1.024.824,11;403.455.057,91;81.809.728,16;208.335,69;82.018.063,86;402.430.233,80;1.024.824,11;403.455.057,91
BB - 2012810;2020003439;12456;Interna;Roraima;Estados;RR;Norte;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;237.689.787,44;605.162,68;238.294.950,12;48.319.771,39;123.023,05;48.442.794,44;237.689.787,44;605.162,68;238.294.950,12
