;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Tocantins;2.499.204.643,10;0,91%;0;0,00%;0;0,00%;0;0,00%;343.869.058,61;0,13%;0;0,00%;1.945.658.165,12;0,71%;209.677.419,37;0,08%;1.121.213.140,01;1,04%;567.666.662,03;0,53%;0;0,00%;0;0,00%;0;0,00%;343.869.058,61;0,32%;0;0,00%;209.677.419,37;0,19%;1.377.991.503,09;0,83%;1.377.991.503,09;0,83%;0;0,00%;0;0,00%;0;0,00%
Mato Grosso;2.354.079.193,45;0,86%;0;0,00%;0;0,00%;0;0,00%;774.079.527,51;0,28%;0;0,00%;1.113.794.657,81;0,41%;466.205.008,13;0,17%;1.240.284.535,64;1,15%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;774.079.527,51;0,72%;0;0,00%;466.205.008,13;0,43%;1.113.794.657,81;0,67%;1.113.794.657,81;0,67%;0;0,00%;0;0,00%;0;0,00%
Distrito Federal;2.199.583.396,81;0,80%;0;0,00%;0;0,00%;0;0,00%;243.891.223,37;0,09%;0;0,00%;1.615.249.138,36;0,59%;340.443.035,08;0,12%;1.228.582.456,69;1,14%;644.248.198,24;0,60%;0;0,00%;0;0,00%;0;0,00%;243.891.223,37;0,23%;0;0,00%;340.443.035,08;0,32%;971.000.940,12;0,59%;971.000.940,12;0,59%;0;0,00%;0;0,00%;0;0,00%
Mato Grosso do Sul;1.977.057.365,01;0,72%;0;0,00%;0;0,00%;0;0,00%;586.569.179,49;0,21%;0;0,00%;1.390.488.185,52;0,51%;0;0,00%;586.569.179,49;0,54%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;586.569.179,49;0,54%;0;0,00%;0;0,00%;1.390.488.185,52;0,84%;1.390.488.185,52;0,84%;0;0,00%;0;0,00%;0;0,00%
Rio Grande do Norte;1.789.858.511,15;0,65%;0;0,00%;0;0,00%;0;0,00%;386.644.813,74;0,14%;0;0,00%;1.403.213.697,41;0,51%;0;0,00%;421.791.738,58;0,39%;35.146.924,84;0,03%;0;0,00%;0;0,00%;0;0,00%;386.644.813,74;0,36%;0;0,00%;0;0,00%;1.368.066.772,57;0,83%;1.368.066.772,57;0,83%;0;0,00%;0;0,00%;0;0,00%
Sergipe;1.698.164.742,77;0,62%;0;0,00%;0;0,00%;0;0,00%;521.644.522,20;0,19%;134.076.563,83;0,05%;1.042.443.656,74;0,38%;0;0,00%;655.721.086,03;0,61%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;521.644.522,20;0,48%;134.076.563,83;0,12%;0;0,00%;1.042.443.656,74;0,63%;996.997.021,42;0,60%;0;0,00%;0;0,00%;45.446.635,33;0,03%
Amapá;1.388.727.869,13;0,51%;0;0,00%;0;0,00%;0;0,00%;1.388.727.869,13;0,51%;0;0,00%;0;0,00%;0;0,00%;1.388.727.869,13;1,29%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.388.727.869,13;1,29%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paraíba;1.349.054.444,03;0,49%;0;0,00%;0;0,00%;0;0,00%;968.978.291,71;0,35%;0;0,00%;380.076.152,32;0,14%;0;0,00%;968.978.291,71;0,90%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;968.978.291,71;0,90%;0;0,00%;0;0,00%;380.076.152,32;0,23%;316.337.608,97;0,19%;0;0,00%;0;0,00%;63.738.543,34;0,04%
Roraima;627.722.122,69;0,23%;0;0,00%;0;0,00%;0;0,00%;627.722.122,69;0,23%;0;0,00%;0;0,00%;0;0,00%;627.722.122,69;0,58%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;627.722.122,69;0,58%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rondônia;257.322.944,04;0,09%;0;0,00%;0;0,00%;0;0,00%;235.699.323,81;0,09%;0;0,00%;21.623.620,23;0,01%;0;0,00%;235.699.323,81;0,22%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;235.699.323,81;0,22%;0;0,00%;0;0,00%;21.623.620,23;0,01%;21.623.620,23;0,01%;0;0,00%;0;0,00%;0;0,00%
