Relatório de Composição de Garantias
Data de Emissão: 13/01/2022 08:07
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Composição: Indexador

;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%);
Sorocaba;68.635.631,851196884;0,022621361132505%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;19.742.958,579016884;0,0065070078586629%;48.892.673,27218;0,0161143532738422%;0,00;0,00%;19.742.958,579016884;0,017483073863143%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;19.742.958,579016884;0,017483073863143%;0,00;0,00%;48.892.673,27218;0,025667523175277%;48.892.673,27218;0,025667523175277%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Cariacica;62.169.164,05000019;0,020490102201288%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;62.169.164,05000019;0,020490102201288%;62.169.164,05000019;0,0550529487637778%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;62.169.164,05000019;0,0550529487637778%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Contagem;58.930.565,894135;0,0194227047508541%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;58.930.565,894135;0,0194227047508541%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;58.930.565,894135;0,0309371847474859%;58.930.565,894135;0,0309371847474859%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Ponta Porã;58.316.847,494408537;0,0192204315994395%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;18.998.639,969598537;0,0062616906727178%;39.318.207,52481;0,0129587409267216%;0,00;0%;18.998.639,969598537;0,016823953945827%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;18.998.639,969598537;0,016823953945827%;0,00;0%;39.318.207,52481;0,0206411499988005%;39.318.207,52481;0,0206411499988005%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Alagoinhas;56.153.781,194195;0,0185075146696913%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;56.153.781,194195;0,0185075146696913%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;56.153.781,194195;0,0294794369732602%;56.153.781,194195;0,0294794369732602%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Rio Branco;54.056.044,00000016;0,0178161293155963%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;54.056.044,00000016;0,0178161293155963%;54.056.044,00000016;0,0478684998612993%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;54.056.044,00000016;0,0478684998612993%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
São Caetano do Sul;51.392.547,07000015;0,0169382773267128%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;51.392.547,07000015;0,0169382773267128%;51.392.547,07000015;0,0455098810466433%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;51.392.547,07000015;0,0455098810466433%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Jacareí;48.550.350,00;0,0160015282272129%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;48.550.350,00;0,0160015282272129%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;48.550.350,00;0,0254878113711544%;48.550.350,00;0,0254878113711544%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Colatina;44.262.498,26952;0,0145883112164317%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;44.262.498,26952;0,0145883112164317%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;44.262.498,26952;0,0232367883384894%;44.262.498,26952;0,0232367883384894%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Ouro Preto;43.749.999,99000013;0,0144193988257664%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;43.749.999,99000013;0,0144193988257664%;43.749.999,99000013;0,0387421408132116%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;43.749.999,99000013;0,0387421408132116%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Aracati;42.184.858,67000013;0,0139035497533796%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;42.184.858,67000013;0,0139035497533796%;42.184.858,67000013;0,0373561539463344%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;42.184.858,67000013;0,0373561539463344%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
João Pessoa;41.853.750,00;0,0137944208855283%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;41.853.750,00;0,0137944208855283%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;41.853.750,00;0,0219722511820297%;41.853.750,00;0,0219722511820297%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Muriaé;41.637.254,82000012;0,0137230670490715%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;41.637.254,82000012;0,0137230670490715%;41.637.254,82000012;0,0368712317641308%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;41.637.254,82000012;0,0368712317641308%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Maringá;41.604.285,46881501;0,0137122008039544%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;38.334.546,238815;0,0126345396833966%;3.269.739,23000001;0,0010776611205577%;3.269.739,23000001;0,0028954673760022%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.269.739,23000001;0,0028954673760022%;38.334.546,238815;0,0201247505637697%;38.334.546,238815;0,0201247505637697%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Sete Lagoas;41.202.219,58159549;0,0135796854123343%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;41.202.219,58159549;0,0135796854123343%;0,00;0,00%;0,00;0,00%;41.202.219,58159549;0,0364859929877004%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;41.202.219,58159549;0,0364859929877004%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Cachoeiro de Itapemirim;40.000.000,00000012;0,0131834503579998%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;40.000.000,00000012;0,0131834503579998%;40.000.000,00000012;0,0354213858944612%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;40.000.000,00000012;0,0354213858944612%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Passo Fundo;36.792.714,41402;0,0121263731003324%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;36.792.714,41402;0,0121263731003324%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;36.792.714,41402;0,0193153244995617%;36.792.714,41402;0,0193153244995617%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Chapecó;35.674.286,731665;0,0117577547045989%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;35.674.286,731665;0,0117577547045989%;0,00;0%;0,00;0%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0%;35.674.286,731665;0,0187281758219489%;35.674.286,731665;0,0187281758219489%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Belford Roxo;35.322.466,50878;0,0116417995935153%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;35.322.466,50878;0,0116417995935153%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;35.322.466,50878;0,0185434783382551%;35.322.466,50878;0,0185434783382551%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Jaraguá do Sul;33.055.555,5800001;0,0108946569011258%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;33.055.555,5800001;0,0108946569011258%;33.055.555,5800001;0,0292718397538748%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;33.055.555,5800001;0,0292718397538748%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Catanduva;32.965.687,65;0,0108650376662775%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;32.965.687,65;0,0108650376662775%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;32.965.687,65;0,0173062239210139%;32.965.687,65;0,0173062239210139%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Vila Velha;32.063.320,80;0,0105676299519855%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;32.063.320,80;0,0105676299519855%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;32.063.320,80;0,0168325021855293%;32.063.320,80;0,0168325021855293%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Maracanaú;30.692.750,00;0,0101159086493874%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;30.692.750,00;0,0101159086493874%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;30.692.750,00;0,0161129842001551%;30.692.750,00;0,0161129842001551%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Suzano;28.641.963,64000009;0,0094399976450894%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;28.641.963,64000009;0,0094399976450894%;28.641.963,64000009;0,0253634511716892%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;28.641.963,64000009;0,0253634511716892%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Ponta Grossa;28.169.773,91793;0,0092843704010777%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;28.169.773,91793;0,0092843704010777%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;28.169.773,91793;0,0147884800828061%;28.169.773,91793;0,0147884800828061%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Itapipoca;27.641.496,12000008;0,0091102572979716%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;27.641.496,12000008;0,0091102572979716%;27.641.496,12000008;0,0244775025191693%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;27.641.496,12000008;0,0244775025191693%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Mogi das Cruzes;26.457.710,68000007;0,0087200978834025%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.743.425,00;0,0015633677003599%;21.714.285,68000007;0,0071567301830427%;21.714.285,68000007;0,0192287523123463%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;21.714.285,68000007;0,0192287523123463%;4.743.425,00;0,0024901884672967%;4.743.425,00;0,0024901884672967%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Santa Maria;26.169.379,461375;0,0086250678757174%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;26.169.379,461375;0,0086250678757174%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;26.169.379,461375;0,0137383192378982%;26.169.379,461375;0,0137383192378982%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Boa Vista;25.463.691,34000008;0,008392482767808%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;25.463.691,34000008;0,008392482767808%;25.463.691,34000008;0,0225489809312897%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;25.463.691,34000008;0,0225489809312897%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Cachoeirinha;24.003.847,18365;0,0079113381936666%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;24.003.847,18365;0,0079113381936666%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;24.003.847,18365;0,0126014648545044%;24.003.847,18365;0,0126014648545044%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Barra do Piraí;23.494.274,52000007;0,007743390045791%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;23.494.274,52000007;0,007743390045791%;23.494.274,52000007;0,0208049941020832%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;23.494.274,52000007;0,0208049941020832%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Piraquara;23.032.342,10000007;0,0075911434675955%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;23.032.342,10000007;0,0075911434675955%;23.032.342,10000007;0,0203959369394336%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;23.032.342,10000007;0,0203959369394336%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Pelotas;22.016.340,3896;0,0072562832647779%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;22.016.340,3896;0,0072562832647779%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;22.016.340,3896;0,0115580697344768%;22.016.340,3896;0,0115580697344768%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Eusébio;22.000.000,00000007;0,0072508976968999%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;22.000.000,00000007;0,0072508976968999%;22.000.000,00000007;0,0194817622419537%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;22.000.000,00000007;0,0194817622419537%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Jandira;21.901.335,92000007;0,00721837937188%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;21.901.335,92000007;0,00721837937188%;21.901.335,92000007;0,0193943917806636%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;21.901.335,92000007;0,0193943917806636%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Timbó;20.484.364,969758187;0,0067513652173489%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;11.380.889,83975816;0,0037509849058079%;0,00;0,00%;9.103.475,130000027;0,003000380311541%;20.484.364,969758187;0,0181396149099196%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;11.380.889,83975816;0,0100781722709106%;9.103.475,130000027;0,008061442639009%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Gaspar;20.000.000,00000006;0,0065917251789999%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;20.000.000,00000006;0,0065917251789999%;20.000.000,00000006;0,0177106929472306%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;20.000.000,00000006;0,0177106929472306%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Ituiutaba;19.966.666,64000006;0,0065807389615793%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;19.966.666,64000006;0,0065807389615793%;19.966.666,64000006;0,0176811751020376%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;19.966.666,64000006;0,0176811751020376%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Itatiaia;19.500.000,00000006;0,0064269320495249%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;19.500.000,00000006;0,0064269320495249%;19.500.000,00000006;0,0172679256235498%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;19.500.000,00000006;0,0172679256235498%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Guarulhos;18.689.572,97207;0,0061598264372375%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;18.689.572,97207;0,0061598264372375%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;18.689.572,97207;0,0098115937479245%;18.689.572,97207;0,0098115937479245%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Uberaba;18.542.230,751545;0,0061112644659893%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;18.542.230,751545;0,0061112644659893%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;18.542.230,751545;0,0097342424883816%;18.542.230,751545;0,0097342424883816%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Camocim;17.441.332,76000005;0,0057484236154704%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;17.441.332,76000005;0,0057484236154704%;17.441.332,76000005;0,0154449044551417%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;17.441.332,76000005;0,0154449044551417%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Votuporanga;16.666.666,64000005;0,0054931043070443%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;16.666.666,64000005;0,0054931043070443%;16.666.666,64000005;0,0147589107657446%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;16.666.666,64000005;0,0147589107657446%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Bagé;15.772.793,226295;0,0051984959126464%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;15.772.793,226295;0,0051984959126464%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;15.772.793,226295;0,0082803518110174%;15.772.793,226295;0,0082803518110174%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Tapejara;15.204.426,844127966;0,005011170163035%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;9.690.793,904127949;0,0031939525091169%;0,00;0,00%;5.513.632,940000017;0,0018172176539181%;15.204.426,844127966;0,013464046763749%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;9.690.793,904127949;0,0085815337625452%;5.513.632,940000017;0,0048825130012038%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Feira de Santana;15.000.000,00000004;0,0049437938842499%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;15.000.000,00000004;0,0049437938842499%;15.000.000,00000004;0,0132830197104229%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;15.000.000,00000004;0,0132830197104229%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Tanguá;14.362.619,98000004;0,0047337221879287%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;14.362.619,98000004;0,0047337221879287%;14.362.619,98000004;0,012718597619177%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;14.362.619,98000004;0,012718597619177%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Gurupi;14.347.640,32600129;0,0047287850998068%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;14.347.640,32600129;0,0047287850998068%;0,00;0,00%;0,00;0,00%;14.347.640,32600129;0,0127053326165556%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;14.347.640,32600129;0,0127053326165556%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Aquidauana;14.340.254,64548713;0,0047263508809964%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;14.340.254,64548713;0,0047263508809964%;0,00;0,00%;0,00;0,00%;14.340.254,64548713;0,012698792340566%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;14.340.254,64548713;0,012698792340566%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Nova Alvorada do Sul;14.087.183,603753682;0,0046429421431029%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;9.424.619,803753668;0,0031062251831452%;0,00;0,00%;4.662.563,800000014;0,0015367169599577%;14.087.183,603753682;0,0124746891648671%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;9.424.619,803753668;0,0083458273744335%;4.662.563,800000014;0,0041288617904336%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Pomerode;13.813.932,08000004;0,0045528821956365%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;13.813.932,08000004;0,0045528821956365%;13.813.932,08000004;0,0122327154731389%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;13.813.932,08000004;0,0122327154731389%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Camboriú;13.703.412,6600000422;0,0045164565134574%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;13.703.412,6600000422;0,0045164565134574%;13.703.412,6600000422;0,0121348466975226%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;13.703.412,6600000422;0,0121348466975226%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Rio Grande;12.943.643,62558;0,0042660470797369%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;12.943.643,62558;0,0042660470797369%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;12.943.643,62558;0,0067951136744478%;12.943.643,62558;0,0067951136744478%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Mineiros;11.621.966,78440908;0,0038304405541145%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;11.621.966,78440908;0,0038304405541145%;0,00;0,00%;0,00;0,00%;11.621.966,78440908;0,0102916542580791%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;11.621.966,78440908;0,0102916542580791%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Osório;11.395.197,75000003;0,0037557005964179%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;11.395.197,75000003;0,0037557005964179%;11.395.197,75000003;0,0100908424211611%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;11.395.197,75000003;0,0100908424211611%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
