Relatório de Estoque de Garantias
Data de Emissão: 13/01/2022 08:15
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Detalhamento: Por tranche

Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
AFD CBR 3005;TA476555;12231;Externa;Curitiba;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,06%;24.100.000,00;44.705,50;24.144.705,50;27.298.070,00;50.637,91985;27.348.707,91985;152.336.879,635;282.584,911722925;152.619.464,546722925;
BANK OF AMERICA-MA/2013;TA652763;12203;Externa;Maranhão;Estados;MA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;BOFA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;5,477%;204.017.599,79;4.904.163,73;208.921.763,52;204.017.599,79;4.904.163,73;208.921.763,52;1.138.520.215,628095;27.367.685,695265;1.165.887.901,32336;
BANK OF AMERICA-SC/2012;TA634758;12202;Externa;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;BOFA;Credores Privados;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4%;116.365.853,00;51.718,16;116.417.571,16;116.365.853,00;51.718,16;116.417.571,16;649.379.642,6665;288.613,19188;649.668.255,85838;
BB - 2012735;2012000998;12465;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,85%;6.128.280.298,45;10.937.721,94;6.139.218.020,39;1.098.159.716,593498;1.959.989,59591435;1.100.119.706,18941235;6.128.280.298,450018;10.937.721,94000003;6.139.218.020,39001803;
BB - 2012769;2012001828;12464;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;597.644.064,80;1.655.061,32;599.299.126,12;107.095.074,778246;296.579,3961114604;107.391.654,1743574604;597.644.064,8000018;1.655.061,320000005;599.299.126,120001805;
BB - 2012772;2018000203;12468;Interna;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;60.161.925,51;806.039,80;60.967.965,31;10.780.741,06442078;144.438,6345309564;10.925.179,6989517364;60.161.925,51000018;806.039,8000000024;60.967.965,3100001824;
BB - 2012784;2012001845;12448;Interna;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;354.249.138,65;981.025,47;355.230.164,12;63.479.820,56267377;175.795,2638652455;63.655.615,8265390155;354.249.138,6500011;981.025,4700000029;355.230.164,1200011029;
BB - 2012786;2018000204;12471;Interna;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;683.687.531,89;9.159.935,55;692.847.467,44;122.513.669,3647526;1.641.418,43024819;124.155.087,79500079;683.687.531,8900021;9.159.935,550000027;692.847.467,440002127;
BB - 2012790;2013000008;12463;Interna;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,6%;6.775.734.624,97;7.795.802,37;6.783.530.427,34;1.214.180.561,772246;1.396.972,022220235;1.215.577.533,794466235;6.775.734.624,97002;7.795.802,370000023;6.783.530.427,340020023;
BB - 2012796;2020003712;12441;Interna;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;743.636.335,49;9.963.119,98;753.599.455,47;133.256.219,9605774;1.785.345,395573878;135.041.565,356151278;743.636.335,4900022;9.963.119,98000003;753.599.455,47000223;
BB - 2012800;2020003625;12440;Interna;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;381.610.001,14;1.056.796,16;382.666.797,30;68.382.761,60559109;189.373,0239225881;68.572.134,6295136781;381.610.001,1400011;1.056.796,160000003;382.666.797,300001103;
BB - 2012802;2020003705;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;70.015.663,30;272.119,78;70.287.783,08;12.546.485,6733268;48.762,61625302406;12.595.248,28957982406;70.015.663,30000021;272.119,7800000008;70.287.783,0800002108;
