Relatório de Atm Garantias
Data de Emissão: 13/01/2022 08:04
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Atm: Tipo de Mutuário

Agrupador;ATM (anos);Valor Financeiro Principal (R$);
Tio Hugo;11,05440718749683;801.981,51;
Toledo;5,412365156689996;72.226.715,36;
Ubaíra;3,653953947900807;5.250.306,20;
Uberaba;1,201077806955404;18.542.230,74;
Uruguaiana;3,213661564655964;6.546.998,37;
Vale Real;10,99508890184446;1.850.272,45;
Vargeão;4,304003155556248;2.292.358,71;
Veranópolis;11,66295490546223;221.042,83;
Vila Velha;7,710241356816699;32.063.320,80;
Virmond;5,488330486438356;1.000.000,00;
Vitória;5,88575803159481;123.935.936,91;
Viçosa;3,720791561774125;3.907.470,02;
Votuporanga;2,944422684972994;16.666.666,64;
Água Doce;4,088390684067997;4.583.333,30;
Bancos Federais;7,253131818797561;22.810.622.878,37;
BNDES;7,753556412000946;17.613.453.124,99;
Banco do Brasil;12,14342292955846;634.261.608,87;
Banco do Nordeste;2,973407801557915;443.310.454,17;
CAIXA;4,821175259441821;4.119.597.690,34;
Entidades Estaduais Controladas;7,209053414447015;9.192.301.009,89;
CAESB-DF;8,961409005869354;717.316.347,63;
CAGECE-CE;4,06027397260274;229.017.039,52;
CASAN-SC;3,604862068368533;269.739.823,03;
CEEE-D-RS;7,500273948790179;371.884.769,08;
CEEE-GT-RS;7,866823813941273;644.192.297,43;
CELESC-SC;12,04657533931884;1.023.075.562,47;
COPASA-MG;1,219178082191781;140.478.622,96;
SABESP-SP;6,53611780075028;5.710.289.091,26;
SANEAGO-GO;3,02922372994563;86.307.456,51;
Estatais Federais;8,298788688763041;6.748.572.968,25;
ELETROBRÁS;1,959564567234751;1.469.721.025,05;
ELETRONUCLEAR;9,672511962749068;3.000.276.088,19;
FINEP;11,79691780643364;1.857.302.755,26;
Furnas Centrais Elétricas;5,208767118210692;421.273.099,75;
