Relatório de Composição de Garantias
Data de Emissão: 13/01/2022 08:08
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Composição: Tipo de Mutuário

Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total;
Uruguaiana;6.546.998,346635;0,0214343694549404%;0,0021578006924192%;
Pojuca;6.472.968,750000019;0,0211920022446768%;0,0021334015546127%;
Castro;6.432.740,410991342;0,0210602977542802%;0,0021201428468551%;
Santa Rosa;6.416.666,690000019;0,0210076736270081%;0,0021148451692861%;
Jaguaré;6.335.142,090000019;0,0207407683517128%;0,0020879757813598%;
Ubaíra;5.250.306,200000016;0,0171890990166823%;0,0017304287788%;
Ivinhema;5.236.214,467798414;0,0171429637683934%;0,0017257843375015%;
Fortim;5.000.000,000000015;0,0163696157537272%;0,00164793129475%;
Capinzal;4.973.174,253600219;0,0162817903215529%;0,0016390898973505%;
Betim;4.878.174,32003;0,0159707678397181%;0,0016077792246446%;
Jiquiriçá;4.789.583,360000014;0,0156807278447291%;0,0015785808615515%;
Paraíso das Águas;4.717.511,078991671;0,0154447687354089%;0,00155482682808%;
Lapão;4.695.833,320000014;0,0153737974183898%;0,0015476821365915%;
Água Doce;4.583.333,300000014;0,0150054809984525%;0,0015106036758679%;
Concórdia;4.413.612,387846218;0,0144498277749866%;0,0014546659953656%;
Piripiri;4.349.935,950000013;0,0142413560109649%;0,0014336791164326%;
Schroeder;4.300.502,886199158;0,014079515958975%;0,001417386657866%;
Morro da Fumaça;4.261.554,353194211;0,0139520014550825%;0,0014045497565813%;
Pinhalzinho;4.249.999,980000013;0,0139141733251897%;0,0014007415939458%;
Massaranduba;4.183.977,616466677;0,0136980211807509%;0,0013789815301418%;
Barrocas;4.114.371,370000012;0,0134701356790072%;0,0013560402677693%;
Caarapó;4.083.392,040227074;0,013368711734069%;0,0013458299063646%;
Viçosa;3.907.470,020000012;0,0127927565593218%;0,0012878484258511%;
Guarda-Mor;3.724.557,280000011;0,0121939143052695%;0,0012275629001602%;
Paranã;3.681.250,010000011;0,0120521296314209%;0,0012132894190555%;
Campinas;3.649.356,869805;0,0119477139413865%;0,0012027778782925%;
Paranavaí;3.613.268,510000011;0,0118295634247485%;0,0011908836507927%;
São Gabriel do Oeste;3.250.231,42976329;0,0106410079231824%;0,0010712316176574%;
Abdon Batista;3.189.690,80000001;0,0104428025538397%;0,0010512782579792%;
Itá;3.142.570,862833944;0,0102885355006901%;0,0010357481741667%;
Barracão;2.957.195,090000009;0,0096816294664217%;0,0009746508666984%;
Abelardo Luz;2.836.620,200000009;0,0092868765426522%;0,00093491103978%;
Ponte Serrada;2.808.202,320000008;0,0091938385874251%;0,0009255448970235%;
Barão;2.781.977,255605402;0,0091079797419738%;0,000916901476159%;
Correia Pinto;2.736.150,751087293;0,0089579472879142%;0,0009017976899741%;
Nova Santa Rita;2.725.692,400000008;0,0089237074501709%;0,0008983507611644%;
Sonora;2.698.045,654544812;0,0088331941301824%;0,0008892387737577%;
Cotiporã;2.520.021,223503457;0,0082503558239978%;0,0008305643675291%;
Jaquirana;2.351.990,867491465;0,0077002373514221%;0,0007751838711011%;
Capitólio;2.319.779,540000007;0,0075947799406316%;0,0007645674601773%;
Doutor Pedrinho;2.312.477,870000007;0,0075708748341795%;0,000762160930078%;
Roca Sales;2.301.194,530000007;0,0075339340461358%;0,0007584420962589%;
Vargeão;2.292.358,710000007;0,007505006250482%;0,0007555299314003%;
Garça;2.275.127,027525265;0,0074485910463016%;0,0007498506056381%;
Alto Feliz;2.235.034,066848155;0,0073173297741589%;0,0007366365167183%;
Maratá;2.162.754,830000006;0,0070806931073235%;0,0007128142734457%;
Morro Grande;2.019.038,984039929;0,0066101784721059%;0,0006654475054239%;
Passos Maia;1.988.645,396083471;0,006510672200861%;0,0006554301964733%;
Serafina Corrêa;1.915.306,622058877;0,0062705666907346%;0,0006312587443065%;
Vale Real;1.849.882,379539807;0,0060563727485314%;0,00060969581297%;
Bom Jesus;1.843.544,58443282;0,006035623294406%;0,0006076069627907%;
Goioerê;1.814.309,690000005;0,0059399104967128%;0,0005979715433038%;
São Sebastião do Caí;1.735.394,522266058;0,0056815483021237%;0,000571962188396%;
Pinheiro Preto;1.687.629,720000005;0,005525170010194%;0,0005562195659076%;
Salvador do Sul;1.597.552,479397167;0,0052302640468291%;0,0005265313451608%;
Paty do Alferes;1.416.666,660000004;0,0046380577750632%;0,0004669138646486%;
Crucilândia;1.340.134,010000004;0,0043874957604403%;0,0004416897548476%;
Santa Vitória;1.300.476,427270402;0,0042576598822393%;0,0004286191605167%;
Entre Rios;1.016.948,297534215;0,0033294105744084%;0,0003351721849299%;
Virmond;1.000.000,000000003;0,0032739231507454%;0,00032958625895%;
Santa Helena;928.558,3600000028;0,0030400287116222%;0,0003060400760891%;
Campinas das Missões;870.792,8770855404;0,0028509089597946%;0,0002870013666789%;
Tio Hugo;801.812,4405721012;0,0026250723117447%;0,0002642663626677%;
Guarujá do Sul;500.000,0000000015;0,0016369615753727%;0,000164793129475%;
Rio do Campo;490.037,0500000015;0,001604343642718%;0,0001615094780564%;
Veranópolis;220.996,4122511415;0,0007235252703007%;0,0000728373807552%;
Monte Castelo;12.655,65000000004;0,0000414336255227%;0,0000041711283381%;
Rio Paranaíba;9.599,740000000029;0,0000314288110271%;0,0000031639423935%;
Sidrolândia;7.262,912849396577;0,0000237782185195%;0,0000023937562751%;
Foz do Iguaçu;0,00;0%;0%;
Relvado;0,00;0%;0%;
Barra do Guarita;0,00;0%;0%;
Não-Me-Toque;0,00;0%;0%;
Goiatuba;0,00;0%;0%;
Jundiaí;0,00;0%;0%;
Mata;0,00;0%;0%;
Porto Nacional;0,00;0%;0%;
Cianorte;0,00;0%;0%;
São Bento do Sul;0,00;0%;0%;
Itacurubi;0,00;0%;0%;
Marau;0,00;0%;0%;
Antônio Prado;0,00;0%;0%;
Paraíso;0,00;0%;0%;
Bancos Federais;22.795.879.866,88123719;100%;7,513208764798881%;
BNDES;17.613.453.125,00;77,26594993417879%;5,805152122659837%;
CAIXA;4.104.924.766,68216696;18,00731005187462%;1,352926797121954%;
Banco do Brasil;634.191.521,05000023;2,78204449555544%;0,2090208108806761%;
Banco do Nordeste;443.310.454,14907;1,944695518391151%;0,146109034136415%;
Entidades Estaduais Controladas;9.192.301.010,62798906;100%;3,029656101235131%;
SABESP-SP;5.710.289.091,73193519;62,12034489655845%;1,882032819266889%;
CELESC-SC;1.023.075.562,49697;11,12970040160898%;0,3371916472665374%;
CAESB-DF;717.316.347,53823;7,803447109802872%;0,2364176114687992%;
CEEE-GT-RS;644.192.297,429665;7,007954773074341%;0,2123169293542453%;
CEEE-D-RS;371.884.769,33674;4,045611310016642%;0,1225681098861777%;
CASAN-SC;269.739.823,16366887;2,934410251054661%;0,0889025392063466%;
CAGECE-CE;229.017.039,47184;2,491400566703094%;0,0754808692753269%;
COPASA-MG;140.478.622,9464;1,528220439952748%;0,0462998237993508%;
SANEAGO-GO;86.307.456,51254;0,9389102512282041%;0,0284457517114574%;
BANDES-ES;0,00;0%;0%;
Estatais Federais;6.748.572.968,155129358;100%;2,224236917825308%;
ELETRONUCLEAR;3.000.276.088,190009;44,45793358607191%;0,9888497717236683%;
FINEP;1.857.302.755,21997;27,52141473440576%;0,6121414668304669%;
ELETROBRÁS;1.469.721.025,028090358;21,77824900113469%;0,4843998543391593%;
Furnas Centrais Elétricas;421.273.099,71706;6,242402678387639%;0,1388458249320137%;
