Relatório de Composição de Garantias;;;
Data de Emissão: 11/05/2022 08:53;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Não Informado;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Estatístico;;;
Data de Referência: 30/04/2022;;;
Tipo de Composição: Tipo de Mutuário;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Piripiri;4.574.963,83;0,02%;0,00%
Jiquiriçá;4.571.875,04;0,02%;0,00%
Lapão;4.491.666,64;0,02%;0,00%
Água Doce;4.398.148,10;0,02%;0,00%
Concórdia;4.378.975,92;0,02%;0,00%
Schroeder;4.267.508,78;0,02%;0,00%
Santa Vitória;4.201.367,46;0,02%;0,00%
Massaranduba;4.150.634,75;0,01%;0,00%
Nova Santa Rita;4.095.906,63;0,01%;0,00%
Pinhalzinho;4.083.333,30;0,01%;0,00%
São Gabriel do Oeste;4.054.973,03;0,01%;0,00%
Barrocas;3.925.204,87;0,01%;0,00%
Viçosa;3.763.012,83;0,01%;0,00%
Paranã;3.518.518,50;0,01%;0,00%
Guarda-Mor;3.476.213,40;0,01%;0,00%
Itá;3.319.551,93;0,01%;0,00%
São Bento do Sul;3.250.000,00;0,01%;0,00%
Barão;3.205.047,62;0,01%;0,00%
Abdon Batista;2.939.321,95;0,01%;0,00%
Barracão;2.830.003,89;0,01%;0,00%
Sonora;2.804.854,05;0,01%;0,00%
Abelardo Luz;2.802.519,44;0,01%;0,00%
Correia Pinto;2.781.679,67;0,01%;0,00%
Ponte Serrada;2.723.494,27;0,01%;0,00%
Cotiporã;2.572.083,27;0,01%;0,00%
Alto Feliz;2.394.886,21;0,01%;0,00%
Jaquirana;2.334.380,26;0,01%;0,00%
Garça;2.257.242,97;0,01%;0,00%
Capitólio;2.217.811,22;0,01%;0,00%
Vargeão;2.216.840,89;0,01%;0,00%
Roca Sales;2.208.216,97;0,01%;0,00%
Doutor Pedrinho;2.207.365,23;0,01%;0,00%
Maratá;2.077.940,91;0,01%;0,00%
Morro Grande;2.002.003,09;0,01%;0,00%
Marau;2.000.000,00;0,01%;0,00%
Serafina Corrêa;1.983.093,50;0,01%;0,00%
Passos Maia;1.973.095,78;0,01%;0,00%
Antônio Prado;1.900.000,00;0,01%;0,00%
Vale Real;1.835.554,46;0,01%;0,00%
Bom Jesus;1.829.349,01;0,01%;0,00%
Pinheiro Preto;1.714.145,14;0,01%;0,00%
Crucilândia;1.676.781,70;0,01%;0,00%
Rio Paranaíba;1.648.332,62;0,01%;0,00%
Salvador do Sul;1.590.103,75;0,01%;0,00%
Paty do Alferes;1.361.111,10;0,00%;0,00%
Monte Castelo;1.225.879,28;0,00%;0,00%
Entre Rios;1.010.158,00;0,00%;0,00%
Relvado;1.000.000,00;0,00%;0,00%
Virmond;1.000.000,00;0,00%;0,00%
Campinas das Missões;980.899,52;0,00%;0,00%
Paranavaí;912.110,51;0,00%;0,00%
Santa Helena;891.783,76;0,00%;0,00%
Tio Hugo;802.986,44;0,00%;0,00%
Guarujá do Sul;662.863,28;0,00%;0,00%
Veranópolis;637.832,89;0,00%;0,00%
Rio do Campo;470.629,65;0,00%;0,00%
Sidrolândia;417.285,23;0,00%;0,00%
Jundiaí;384.979,63;0,00%;0,00%
Barra do Guarita;200.000,00;0,00%;0,00%
Euclides da Cunha;0;0%;0%
Estância;0;0%;0%
Goiatuba;0;0%;0%
Indaiatuba;0;0%;0%
Mata;0;0%;0%
São José do Rio Preto;0;0%;0%
Telêmaco Borba;0;0%;0%
Cianorte;0;0%;0%
Itacurubi;0;0%;0%
Paraíso;0;0%;0%
Bancos Federais;19.536.212.836,65;100%;7,15%
BNDES;14.976.902.678,56;76,66%;5,48%
CAIXA;3.643.638.869,66;18,65%;1,33%
Banco do Brasil;557.951.937,39;2,86%;0,20%
Banco do Nordeste;357.719.351,05;1,83%;0,13%
Entidades Estaduais Controladas;8.001.525.439,43;100%;2,93%
SABESP-SP;4.637.321.369,44;57,96%;1,70%
CELESC-SC;1.147.775.804,49;14,34%;0,42%
CAESB-DF;751.523.843,33;9,39%;0,27%
CEEE-GT-RS;560.391.944,19;7,00%;0,20%
CEEE-D-RS;316.882.075,67;3,96%;0,12%
CASAN-SC;213.398.696,75;2,67%;0,08%
CAGECE-CE;189.256.851,79;2,37%;0,07%
COPASA-MG;115.236.402,84;1,44%;0,04%
SANEAGO-GO;69.738.450,91;0,87%;0,03%
BANDES-ES;0;0%;0%
Estatais Federais;5.931.395.483,21;100%;2,17%
ELETRONUCLEAR;2.966.039.840,26;50,01%;1,08%
FINEP;1.637.175.518,90;27,60%;0,60%
ELETROBRÁS;956.836.247,20;16,13%;0,35%
Furnas Centrais Elétricas;371.343.876,86;6,26%;0,14%
