Relatório de Percentual Vincendo Garantias;;;;;;;;;;;;;;
Data de Emissão: 11/05/2022 09:48;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;
Posição: Estatística;;;;;;;;;;;;;;
Mês de Referência: 04/2022;;;;;;;;;;;;;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;;;;;;;;;;;;;
Tipo de Cálculo: Valor Corrente;;;;;;;;;;;;;;
Tipo Percentual Vincendo: Tipo de Mutuário;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%)
Aracaju;9.756.245,69;8,16%;8.904.644,64;7,45%;8.446.400,57;7,06%;8.512.898,39;7,12%;8.368.190,14;7,00%;75.587.091,89;63,21%;119.575.471,32;100%
Aracati;10.972.447,83;13,40%;11.770.397,74;14,37%;11.012.316,28;13,44%;10.197.519,25;12,45%;9.340.427,55;11,40%;28.618.316,19;34,94%;81.911.424,84;100%
Araguaína;1.985.070,43;1,90%;2.214.373,10;2,12%;9.370.898,74;8,96%;9.174.200,80;8,78%;8.989.162,76;8,60%;72.799.450,75;69,64%;104.533.156,58;100%
Araquari;1.186.616,78;5,90%;1.179.013,24;5,87%;1.170.893,54;5,83%;1.162.273,05;5,78%;1.153.120,90;5,74%;14.243.210,23;70,88%;20.095.127,74;100%
Bagé;2.245.111,43;16,99%;2.226.092,71;16,85%;2.206.597,69;16,70%;2.187.340,74;16,55%;2.168.083,79;16,41%;2.180.897,01;16,50%;13.214.123,37;100%
Balneário Camboriú;19.305.964,24;17,74%;17.960.423,21;16,50%;16.672.720,72;15,32%;15.210.210,97;13,98%;13.773.427,27;12,66%;25.913.031,94;23,81%;108.835.778,35;100%
Barra do Guarita;36.420,56;10,69%;46.884,86;13,77%;44.036,68;12,93%;40.977,34;12,03%;37.792,79;11,10%;134.488,83;39,49%;340.601,06;100%
Barra do Piraí;4.302.465,94;15,63%;4.038.564,94;14,67%;3.787.368,14;13,76%;3.494.187,68;12,70%;3.206.119,92;11,65%;8.691.507,43;31,58%;27.520.214,05;100%
Barracão;746.467,29;17,38%;692.286,84;16,12%;646.624,69;15,05%;591.362,01;13,77%;537.137,56;12,50%;1.081.945,66;25,19%;4.295.824,05;100%
Barrocas;1.071.928,11;18,40%;994.746,27;17,07%;920.857,93;15,80%;839.537,18;14,41%;760.251,30;13,05%;1.239.266,49;21,27%;5.826.587,28;100%
Barão;353.413,58;5,63%;351.270,59;5,60%;348.994,16;5,56%;346.577,33;5,52%;344.011,41;5,48%;4.531.375,45;72,21%;6.275.642,52;100%
Belford Roxo;3.121.073,18;9,22%;3.059.676,23;9,04%;3.004.769,92;8,87%;2.952.979,47;8,72%;2.900.172,73;8,56%;18.822.754,03;55,59%;33.861.425,56;100%
Belo Horizonte;188.649.064,22;9,47%;189.582.926,53;9,52%;189.611.924,27;9,52%;182.430.461,90;9,16%;174.566.257,24;8,76%;1.067.003.606,88;53,57%;1.991.844.241,04;100%
Belém;23.036.854,68;8,53%;23.234.673,73;8,61%;22.836.468,90;8,46%;22.439.674,77;8,31%;22.043.362,36;8,17%;156.378.187,34;57,92%;269.969.221,78;100%
Blumenau;20.112.162,17;7,51%;19.806.499,83;7,40%;19.463.792,97;7,27%;19.147.475,60;7,15%;18.822.511,79;7,03%;170.353.457,05;63,63%;267.705.899,41;100%
Boa Vista;6.581.219,75;18,21%;6.090.938,91;16,85%;5.672.957,55;15,69%;5.173.683,87;14,31%;4.683.334,86;12,96%;7.944.231,47;21,98%;36.146.366,41;100%
Bom Jesus;215.759,62;6,05%;214.122,04;6,00%;212.380,78;5,95%;210.532,14;5,90%;208.569,51;5,84%;2.507.497,26;70,26%;3.568.861,35;100%
Caarapó;665.856,41;6,04%;661.549,31;6,00%;656.865,05;5,96%;651.891,90;5,91%;646.612,00;5,86%;7.745.762,36;70,23%;11.028.537,03;100%
Cachoeirinha;3.662.525,05;16,66%;3.561.566,81;16,20%;3.457.804,16;15,73%;3.355.443,74;15,27%;3.253.083,27;14,80%;4.688.014,45;21,33%;21.978.437,48;100%
Cachoeiro de Itapemirim;8.175.075,23;11,97%;9.471.409,56;13,87%;8.894.263,58;13,02%;8.225.342,94;12,05%;7.579.116,63;11,10%;25.941.323,13;37,99%;68.286.531,07;100%
Camaçari;4.334.518,04;1,65%;5.056.443,63;1,93%;14.915.281,62;5,68%;24.298.952,50;9,26%;23.794.693,44;9,06%;190.100.399,88;72,42%;262.500.289,11;100%
Camboriú;3.575.677,66;15,85%;3.342.863,13;14,82%;3.127.975,56;13,86%;2.877.050,79;12,75%;2.630.506,72;11,66%;7.008.412,05;31,06%;22.562.485,91;100%
Camocim;4.210.666,41;16,02%;3.933.046,58;14,96%;3.692.290,60;14,04%;3.398.157,95;12,93%;3.095.764,30;11,78%;7.959.143,64;30,28%;26.289.069,48;100%
Campinas das Missões;111.039,66;5,98%;110.340,03;5,95%;109.567,43;5,90%;108.747,12;5,86%;107.876,20;5,81%;1.308.339,44;70,50%;1.855.909,88;100%
Campo Grande;23.454.680,67;8,31%;22.946.199,06;8,13%;22.490.573,76;7,96%;22.061.917,78;7,81%;21.624.932,39;7,66%;169.817.645,91;60,13%;282.395.949,57;100%
Candeias;1.177.447,22;16,36%;1.093.380,38;15,19%;1.025.416,51;14,25%;941.435,26;13,08%;859.024,38;11,93%;2.101.630,09;29,20%;7.198.333,84;100%
Canoas;30.976.472,26;23,26%;30.370.113,45;22,80%;29.428.242,45;22,10%;28.501.811,92;21,40%;13.898.347,67;10,44%;0;0,00%;133.174.987,75;100%
Capinzal;608.627,46;5,66%;604.955,72;5,62%;601.013,57;5,58%;596.828,30;5,55%;592.384,88;5,50%;7.758.814,06;72,09%;10.762.623,99;100%
Capitólio;589.321,33;17,70%;547.149,98;16,43%;507.279,61;15,23%;465.295,87;13,97%;422.376,20;12,68%;798.484,94;23,98%;3.329.907,93;100%
Carandaí;1.876.963,78;15,70%;1.754.116,96;14,67%;1.644.944,51;13,76%;1.517.154,36;12,69%;1.390.050,48;11,63%;3.771.001,18;31,55%;11.954.231,27;100%
Cariacica;9.237.491,16;18,19%;8.494.351,93;16,73%;7.862.574,77;15,48%;7.198.239,23;14,17%;6.519.978,15;12,84%;11.472.873,07;22,59%;50.785.508,31;100%
Cascavel;16.120.847,78;9,00%;15.504.675,01;8,65%;14.906.923,20;8,32%;14.329.472,37;8,00%;13.723.243,84;7,66%;104.558.753,46;58,37%;179.143.915,66;100%
Castro;710.852,09;5,75%;706.424,52;5,72%;701.718,39;5,68%;696.722,03;5,64%;691.417,45;5,60%;8.849.661,41;71,62%;12.356.795,89;100%
Catanduva;2.667.712,48;8,29%;2.615.713,07;8,13%;2.569.702,56;7,98%;2.526.675,34;7,85%;2.482.672,32;7,71%;19.326.219,56;60,04%;32.188.695,33;100%
Caucaia;7.869.380,59;2,19%;21.631.054,90;6,01%;34.767.002,08;9,67%;34.047.662,26;9,47%;33.472.616,52;9,31%;227.864.001,48;63,36%;359.651.717,83;100%
Caxias do Sul;32.097.538,32;15,75%;31.242.823,36;15,33%;30.125.280,43;14,78%;17.134.277,99;8,41%;16.245.903,56;7,97%;76.997.908,73;37,77%;203.843.732,39;100%
Chapecó;14.257.560,70;12,64%;16.447.760,48;14,58%;15.500.004,96;13,74%;14.602.941,93;12,95%;13.720.463,84;12,16%;38.261.171,60;33,92%;112.789.903,51;100%
Cianorte;13.977,78;100%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.977,78;100%
Colatina;3.239.066,79;7,32%;3.176.662,11;7,18%;3.122.202,80;7,06%;3.071.854,28;6,95%;3.020.157,45;6,83%;28.590.668,20;64,65%;44.220.611,63;100%
Concórdia;526.494,78;6,12%;522.243,49;6,07%;517.730,68;6,02%;512.939,49;5,96%;507.852,80;5,90%;6.019.360,25;69,94%;8.606.621,49;100%
Contagem;1.523.592,06;2,11%;1.527.777,72;2,12%;4.224.358,39;5,86%;6.816.867,53;9,45%;6.677.978,66;9,26%;51.347.382,22;71,20%;72.117.956,58;100%
Correia Pinto;306.182,32;5,61%;304.334,77;5,57%;302.373,33;5,54%;300.290,94;5,50%;298.080,10;5,46%;3.948.590,66;72,32%;5.459.852,12;100%
Corumbá;12.418.374,79;6,03%;19.430.406,78;9,43%;18.948.757,62;9,20%;18.438.576,41;8,95%;17.942.661,18;8,71%;118.774.380,56;57,67%;205.953.157,34;100%
Costa Rica;1.144.553,00;5,88%;1.137.216,06;5,84%;1.129.427,51;5,80%;1.121.158,59;5,76%;1.112.379,65;5,71%;13.822.931,42;71,00%;19.467.666,23;100%
Cotiporã;293.041,40;6,07%;291.088,76;6,03%;289.016,13;5,98%;286.815,66;5,94%;284.479,49;5,89%;3.386.561,31;70,10%;4.831.002,75;100%
Criciúma;8.605.635,93;7,96%;8.232.323,08;7,61%;10.283.268,30;9,51%;12.126.926,81;11,22%;11.457.688,39;10,60%;57.403.328,98;53,10%;108.109.171,49;100%
Crucilândia;419.156,35;15,69%;391.928,25;14,67%;366.288,49;13,71%;337.182,91;12,62%;308.962,35;11,57%;847.243,48;31,72%;2.670.761,83;100%
Curitiba;93.927.421,20;14,69%;89.991.235,59;14,07%;64.635.526,35;10,11%;61.454.606,49;9,61%;58.945.402,57;9,22%;270.648.495,73;42,32%;639.602.687,93;100%
Doutor Pedrinho;600.112,28;18,24%;556.117,86;16,91%;515.173,25;15,66%;470.512,99;14,30%;425.472,16;12,93%;722.103,54;21,95%;3.289.492,08;100%
Entre Rios;119.140,92;6,05%;118.237,13;6,00%;117.275,63;5,95%;116.254,85;5,90%;115.171,09;5,84%;1.384.628,76;70,26%;1.970.708,38;100%
Eusébio;5.083.970,74;13,78%;5.132.372,10;13,91%;4.814.342,48;13,05%;4.468.767,25;12,11%;4.093.745,36;11,10%;13.299.847,73;36,05%;36.893.045,66;100%
Feira de Santana;3.726.813,64;16,90%;3.459.250,27;15,68%;3.243.354,28;14,70%;2.975.011,36;13,49%;2.700.597,79;12,24%;5.953.646,33;26,99%;22.058.673,67;100%
Florianópolis;28.087.101,08;8,79%;27.622.426,24;8,64%;23.297.804,98;7,29%;19.232.786,51;6,02%;18.917.090,58;5,92%;202.382.220,38;63,34%;319.539.429,77;100%
Fortaleza;224.199.744,88;8,32%;253.620.268,56;9,41%;257.119.470,91;9,54%;244.130.296,63;9,06%;239.121.162,22;8,88%;1.475.702.806,18;54,78%;2.693.893.749,38;100%
Fortim;985.628,87;11,47%;1.186.988,03;13,81%;1.115.692,41;12,98%;1.037.982,26;12,07%;953.219,06;11,09%;3.316.825,65;38,58%;8.596.336,28;100%
Foz do Iguaçu;3.499.813,28;10,50%;4.559.381,12;13,68%;4.289.465,19;12,87%;3.999.547,56;12,00%;3.697.766,95;11,10%;13.278.008,76;39,85%;33.323.982,86;100%
Garça;256.641,71;6,04%;254.944,36;6,00%;253.139,17;5,96%;251.222,64;5,91%;249.187,91;5,86%;2.985.021,35;70,23%;4.250.157,14;100%
Gaspar;3.570.903,96;10,24%;4.815.976,73;13,81%;4.536.455,39;13,01%;4.198.886,80;12,04%;3.867.150,08;11,09%;13.884.262,33;39,81%;34.873.635,29;100%
Goioerê;1.183.220,49;16,09%;1.103.147,85;15,00%;1.028.152,90;13,98%;948.567,26;12,90%;866.624,61;11,78%;2.224.620,84;30,25%;7.354.333,95;100%
Goiânia;112.777.394,42;13,50%;106.360.652,85;12,73%;100.565.774,60;12,03%;94.089.037,99;11,26%;87.458.166,76;10,47%;334.384.398,05;40,02%;835.635.424,67;100%
Guarda-Mor;938.112,84;18,05%;868.489,04;16,71%;809.145,79;15,56%;738.165,77;14,20%;668.522,79;12,86%;1.176.299,14;22,63%;5.198.735,37;100%
Guarujá do Sul;139.184,89;12,82%;149.823,34;13,80%;141.146,24;13,00%;130.764,39;12,05%;120.742,52;11,12%;403.937,61;37,21%;1.085.598,99;100%
Guarulhos;1.870.443,30;7,84%;1.385.599,25;5,81%;917.941,10;3,85%;1.127.064,64;4,72%;1.667.077,68;6,99%;16.895.694,52;70,80%;23.863.820,49;100%
Gurupi;1.767.863,00;6,61%;1.752.177,55;6,55%;1.735.527,81;6,49%;1.717.851,13;6,42%;1.699.084,21;6,35%;18.086.526,27;67,59%;26.759.029,97;100%
Hortolândia;24.657.063,78;10,68%;34.112.475,41;14,77%;33.313.705,40;14,43%;32.511.039,82;14,08%;31.750.512,38;13,75%;74.587.242,57;32,30%;230.932.039,36;100%
Indaiatuba;328.226,21;27,67%;375.582,68;31,66%;267.816,81;22,58%;160.953,54;13,57%;54.090,33;4,56%;-341,53;-0,03%;1.186.328,04;100%
Itajaí;8.367.583,79;5,12%;15.344.535,61;9,38%;15.222.635,94;9,31%;15.103.986,85;9,24%;14.985.337,81;9,16%;94.515.347,27;57,79%;163.539.427,27;100%
Itapipoca;6.700.670,03;16,03%;6.269.291,49;15,00%;5.871.816,13;14,05%;5.402.244,58;12,93%;4.918.890,51;11,77%;12.629.879,58;30,22%;41.792.792,32;100%
Itatiaia;5.380.651,57;20,26%;4.961.279,72;18,68%;4.569.676,49;17,20%;4.132.432,60;15,56%;3.710.066,04;13,97%;3.808.770,06;14,34%;26.562.876,48;100%
Ituiutaba;5.180.105,50;18,25%;4.792.235,34;16,88%;4.453.486,62;15,69%;4.056.050,42;14,29%;3.673.643,68;12,94%;6.235.687,44;21,96%;28.391.209,00;100%
Itá;625.430,32;10,78%;593.230,58;10,23%;567.406,17;9,78%;534.994,97;9,22%;501.612,16;8,65%;2.976.839,39;51,33%;5.799.513,59;100%
Ivinhema;583.891,00;5,88%;580.167,99;5,84%;576.194,54;5,80%;571.976,04;5,76%;567.497,35;5,71%;7.051.978,61;71,00%;9.931.705,53;100%
Jacareí;1.228.205,22;1,77%;1.452.834,34;2,10%;1.460.816,96;2,11%;6.566.139,22;9,48%;6.433.700,52;9,29%;52.127.370,99;75,25%;69.269.067,25;100%
Jaguaré;1.597.806,34;17,56%;1.492.574,70;16,41%;1.388.958,68;15,27%;1.271.160,09;13,97%;1.156.606,68;12,71%;2.190.119,45;24,07%;9.097.225,94;100%
Jandira;5.163.498,18;15,70%;4.831.598,27;14,69%;4.536.673,92;13,79%;4.180.455,76;12,71%;3.826.467,68;11,63%;10.350.187,82;31,47%;32.888.881,63;100%
Jaquirana;265.415,46;6,04%;263.656,64;6,00%;261.789,80;5,96%;259.807,77;5,91%;257.703,47;5,86%;3.087.028,32;70,23%;4.395.401,46;100%
Jaraguá do Sul;12.946.924,51;14,95%;12.732.164,60;14,70%;11.939.847,99;13,78%;10.992.738,41;12,69%;10.042.071,78;11,59%;27.969.543,08;32,29%;86.623.290,37;100%
Jiquiriçá;1.237.161,62;18,17%;1.150.605,10;16,90%;1.069.171,05;15,70%;975.882,71;14,33%;881.112,67;12,94%;1.495.118,66;21,96%;6.809.051,81;100%
Joinville;28.474.215,57;10,24%;29.981.904,99;10,79%;28.974.976,63;10,42%;27.881.233,14;10,03%;24.557.067,78;8,84%;138.076.738,30;49,68%;277.946.136,41;100%
João Pessoa;2.783.725,43;5,63%;1.843.011,55;3,73%;1.880.555,11;3,80%;2.744.532,54;5,55%;2.702.351,76;5,47%;37.488.002,20;75,82%;49.442.178,59;100%
Jundiaí;33.883,52;6,67%;33.015,31;6,50%;32.580,66;6,41%;31.760,33;6,25%;30.953,36;6,09%;345.985,75;68,08%;508.178,93;100%
Lapão;1.187.023,86;17,49%;1.106.134,48;16,29%;1.030.477,17;15,18%;943.047,05;13,89%;853.890,80;12,58%;1.668.123,09;24,57%;6.788.696,45;100%
Linhares;22.285.405,74;20,41%;20.555.551,45;18,82%;18.952.150,23;17,35%;17.192.477,50;15,74%;15.434.976,53;14,13%;14.791.203,96;13,54%;109.211.765,41;100%
Maceió;3.514.197,76;1,91%;16.823.864,03;9,16%;16.496.416,76;8,99%;16.166.194,58;8,81%;15.803.135,08;8,61%;114.781.044,81;62,52%;183.584.853,02;100%
Manaus;420.983.895,42;12,83%;404.252.754,00;12,32%;367.037.402,52;11,19%;342.933.977,48;10,45%;312.592.466,60;9,53%;1.433.315.271,87;43,68%;3.281.115.767,89;100%
Maracanaú;1.773.173,57;2,02%;3.306.017,86;3,77%;4.918.247,87;5,61%;4.843.680,75;5,53%;4.769.638,41;5,44%;68.009.206,09;77,62%;87.619.964,55;100%
Maratá;527.290,14;16,09%;492.398,14;15,03%;459.450,73;14,02%;422.242,62;12,89%;386.132,76;11,78%;989.399,30;30,19%;3.276.913,69;100%
Marau;772.617,05;32,01%;803.369,42;33,28%;724.888,66;30,03%;112.751,23;4,67%;0;0,00%;0;0,00%;2.413.626,36;100%
Maringá;5.312.520,69;10,54%;5.110.481,76;10,14%;4.926.238,99;9,77%;4.724.348,66;9,37%;4.523.953,85;8,97%;25.824.379,89;51,22%;50.421.923,84;100%
Massaranduba;471.920,33;6,04%;468.793,43;6,00%;465.474,02;5,96%;461.949,92;5,91%;458.208,43;5,86%;5.488.876,68;70,23%;7.815.222,81;100%
Mauá;70.692.973,83;7,84%;70.692.900,13;7,84%;70.692.900,20;7,84%;70.692.900,20;7,84%;70.692.900,18;7,84%;547.869.976,36;60,78%;901.334.550,90;100%
Mineiros;1.305.773,44;5,98%;1.297.215,54;5,95%;1.288.131,87;5,90%;1.278.487,91;5,86%;1.268.249,12;5,81%;15.381.521,38;70,49%;21.819.379,26;100%
Mogi das Cruzes;6.241.175,16;16,28%;5.767.105,24;15,05%;5.326.336,58;13,90%;5.106.385,46;13,32%;4.884.288,00;12,74%;11.003.955,82;28,71%;38.329.246,26;100%
