;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Tocantins;2.370.416.240,29;0,93%;0;0,00%;0;0,00%;439.251.043,26;0,17%;0;0,00%;1.671.165.197,03;0,65%;260.000.000,00;0,10%;1.238.816.564,76;1,09%;539.565.521,50;0,48%;0;0,00%;0;0,00%;439.251.043,26;0,39%;0;0,00%;260.000.000,00;0,23%;1.131.599.675,53;0,79%;1.131.599.675,53;0,79%;0;0,00%;0;0,00%;0;0,00%
Distrito Federal;2.166.904.265,98;0,85%;0;0,00%;0;0,00%;279.338.374,49;0,11%;0;0,00%;1.470.667.603,64;0,58%;416.898.287,85;0,16%;1.272.736.979,17;1,12%;576.500.316,83;0,51%;0;0,00%;0;0,00%;279.338.374,49;0,25%;0;0,00%;416.898.287,85;0,37%;894.167.286,81;0,63%;894.167.286,81;0,63%;0;0,00%;0;0,00%;0;0,00%
Pará;2.108.076.809,89;0,82%;0;0,00%;0;0,00%;813.612.024,16;0,32%;0;0,00%;917.219.614,24;0,36%;377.245.171,49;0,15%;1.190.857.195,65;1,05%;0;0,00%;0;0,00%;0;0,00%;813.612.024,16;0,72%;0;0,00%;377.245.171,49;0,33%;917.219.614,24;0,64%;824.904.842,49;0,58%;0;0,00%;92.314.771,75;0,06%;0;0,00%
Mato Grosso do Sul;2.030.733.816,20;0,79%;0;0,00%;0;0,00%;758.305.884,84;0,30%;0;0,00%;1.272.427.931,36;0,50%;0;0,00%;758.305.884,84;0,67%;0;0,00%;0;0,00%;0;0,00%;758.305.884,84;0,67%;0;0,00%;0;0,00%;1.272.427.931,36;0,89%;1.272.427.931,36;0,89%;0;0,00%;0;0,00%;0;0,00%
Sergipe;1.574.821.271,06;0,62%;0;0,00%;0;0,00%;574.217.364,92;0,22%;109.899.732,57;0,04%;890.704.173,57;0,35%;0;0,00%;684.117.097,49;0,60%;0;0,00%;0;0,00%;0;0,00%;574.217.364,92;0,51%;109.899.732,57;0,10%;0;0,00%;890.704.173,57;0,62%;845.183.248,42;0,59%;0;0,00%;0;0,00%;45.520.925,15;0,03%
Amapá;1.556.916.490,34;0,61%;0;0,00%;0;0,00%;1.555.695.572,52;0,61%;0;0,00%;1.220.917,82;0,00%;0;0,00%;1.555.695.572,52;1,37%;0;0,00%;0;0,00%;0;0,00%;1.555.695.572,52;1,37%;0;0,00%;0;0,00%;1.220.917,82;0,00%;1.220.917,82;0,00%;0;0,00%;0;0,00%;0;0,00%
Rio Grande do Norte;1.432.745.473,46;0,56%;0;0,00%;0;0,00%;528.463.344,56;0,21%;0;0,00%;904.282.128,90;0,35%;0;0,00%;568.305.913,43;0,50%;39.842.568,87;0,04%;0;0,00%;0;0,00%;528.463.344,56;0,47%;0;0,00%;0;0,00%;864.439.560,03;0,61%;864.439.560,03;0,61%;0;0,00%;0;0,00%;0;0,00%
Paraíba;1.411.471.388,55;0,55%;0;0,00%;0;0,00%;1.034.099.804,21;0,40%;0;0,00%;377.371.584,34;0,15%;0;0,00%;1.034.099.804,21;0,91%;0;0,00%;0;0,00%;0;0,00%;1.034.099.804,21;0,91%;0;0,00%;0;0,00%;377.371.584,34;0,26%;326.417.098,58;0,23%;0;0,00%;0;0,00%;50.954.485,75;0,04%
Roraima;745.488.477,03;0,29%;0;0,00%;0;0,00%;745.488.477,03;0,29%;0;0,00%;0;0,00%;0;0,00%;745.488.477,03;0,66%;0;0,00%;0;0,00%;0;0,00%;745.488.477,03;0,66%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rondônia;355.206.191,56;0,14%;0;0,00%;0;0,00%;332.908.122,45;0,13%;0;0,00%;22.298.069,11;0,01%;0;0,00%;332.908.122,45;0,29%;0;0,00%;0;0,00%;0;0,00%;332.908.122,45;0,29%;0;0,00%;0;0,00%;22.298.069,11;0,02%;22.298.069,11;0,02%;0;0,00%;0;0,00%;0;0,00%
Bancos Federais;18.743.246.087,28;7,33%;0;0,00%;0;0,00%;5.854.656.309,42;2,29%;0;0,00%;12.888.589.777,86;5,04%;0;0,00%;5.854.656.309,42;5,17%;0;0,00%;0;0,00%;0;0,00%;5.854.656.309,42;5,17%;0;0,00%;0;0,00%;12.888.589.777,86;9,04%;12.813.074.498,00;8,99%;0;0,00%;75.515.279,87;0,05%;0;0,00%
BNDES;12.266.210.472,61;4,80%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;12.266.210.472,61;4,80%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;12.266.210.472,61;8,60%;12.190.695.192,74;8,55%;0;0,00%;75.515.279,87;0,05%;0;0,00%
CAIXA;5.766.370.005,92;2,25%;0;0,00%;0;0,00%;5.704.115.493,89;2,23%;0;0,00%;62.254.512,03;0,02%;0;0,00%;5.704.115.493,89;5,04%;0;0,00%;0;0,00%;0;0,00%;5.704.115.493,89;5,04%;0;0,00%;0;0,00%;62.254.512,03;0,04%;62.254.512,03;0,04%;0;0,00%;0;0,00%;0;0,00%
