Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 21/05/2019 15:59;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2019;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
BB - 2012805;2018000206;12439;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;400.467.488,76;2.296.681,04;402.764.169,80;101.504.952,41;582.130,90;102.087.083,31;400.467.488,76;2.296.681,04;402.764.169,80
BB - 2012810;2012001840;12456;Interna;Roraima;Estados;RR;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;289.981.776,55;830.193,19;290.811.969,74;73.500.564,36;210.425,87;73.710.990,23;289.981.776,55;830.193,19;290.811.969,74
BB - 2012820;2013000017;12438;Interna;Rondônia;Estados;RO;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;301.077.322,22;861.958,79;301.939.281,01;76.312.909,59;218.477,38;76.531.386,97;301.077.322,22;861.958,79;301.939.281,01
BB - 2013836;2013000109;12443;Interna;Rio Grande do Norte;Estados;RN;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;271.837.489,09;778.247,64;272.615.736,73;68.901.601,68;197.259,43;69.098.861,11;271.837.489,09;778.247,64;272.615.736,73
BB - 2013850;2013000326;12431;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;4.575.061.668,56;140.364.986,12;4.715.426.654,68;1.159.623.265,29;35.577.772,57;1.195.201.037,86;4.575.061.668,56;140.364.986,12;4.715.426.654,68
BB - 2013877;2013000486;12470;Interna;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,75%;1.332.601.918,28;24.791.716,93;1.357.393.635,21;337.769.477,17;6.283.861,03;344.053.338,20;1.332.601.918,28;24.791.716,93;1.357.393.635,21
BB - 2013879;2015000781;12453;Interna;Piauí;Estados;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,5572%;725.935.347,06;16.902.007,85;742.837.354,91;184.000.037,27;4.284.086,85;188.284.124,12;725.935.347,06;16.902.007,85;742.837.354,91
BB - 2013887;2013000580;12447;Interna;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;3.350.074.626,77;33.666.574,83;3.383.741.201,60;849.130.516,51;8.533.337,09;857.663.853,60;3.350.074.626,77;33.666.574,83;3.383.741.201,60
BB - 2013889;2015000926;12446;Interna;Goiás;Estados;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,051%;2.245.445.054,04;34.703.149,32;2.280.148.203,36;569.144.311,98;8.796.073,64;577.940.385,61;2.245.445.054,04;34.703.149,32;2.280.148.203,36
BB - 2013891;2015001120;12450;Interna;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,31%;539.565.521,50;13.337.373,75;552.902.895,25;136.761.595,19;3.380.572,77;140.142.167,96;539.565.521,50;13.337.373,75;552.902.895,25
